name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Raphael Nuzzolo,70.33,71.33,70.67,57.33,68.67,76.33,68.33,69.33,67.33,79.0,71.0,71.0,70.0,74.33,70.33,71.0,60.0,75.33,54.33,51.33,78.33,65.33,52.33,54.33,55.33,45.33,mid
Alain Rochat,69.5,64.5,51.5,73.5,69.5,51.5,55.5,65.5,61.5,68.0,71.0,63.0,66.0,71.5,83.0,69.0,77.0,70.5,66.5,64.5,54.5,61.5,69.5,66.5,68.5,68.5,mid
Miralem Sulejmani,74.2,73.6,69.8,46.6,70.6,69.6,83.6,73.6,64.6,78.0,82.8,77.0,76.0,73.8,55.0,60.8,61.0,70.6,31.6,25.6,73.6,69.6,73.0,28.6,35.6,25.6,mid
Milan Gajic,60.0,59.33,61.67,37.67,68.33,54.67,58.67,71.67,66.67,71.0,67.0,59.0,61.0,65.0,70.0,71.0,70.0,59.67,60.33,44.33,54.67,60.67,42.67,50.67,58.67,55.67,mid
Yoric Ravet,69.0,68.6,62.0,50.0,66.47,59.27,64.0,41.33,55.33,81.2,84.73,74.07,68.8,70.67,50.0,76.73,67.93,68.0,34.2,39.33,67.93,66.07,47.33,35.33,32.33,34.33,mid
Alexander Gonzalez,65.14,62.29,61.43,47.29,63.86,48.29,52.29,54.29,57.29,79.0,83.0,76.0,74.0,60.29,87.57,80.0,74.0,56.29,72.86,64.29,60.43,55.0,50.29,58.29,59.57,54.29,mid
Sekou Junior Sanogo,68.0,46.57,47.57,59.57,71.86,43.57,52.57,63.57,72.86,80.0,66.29,70.0,60.0,67.57,81.29,82.0,76.0,57.57,72.57,58.57,71.57,68.57,44.57,56.71,66.0,54.14,mid
Leonardo Bertone,57.12,42.0,40.25,55.88,68.38,30.38,47.62,56.25,65.75,62.0,68.12,59.88,72.0,58.75,70.62,65.0,59.0,39.75,59.5,47.25,54.75,48.38,58.38,47.75,58.12,56.12,mid
Renato Steffen,70.1,59.6,68.6,60.4,64.8,79.6,65.4,66.4,69.8,80.4,79.8,80.0,82.5,72.4,71.4,74.0,40.0,68.9,35.4,22.6,71.4,68.6,54.4,25.4,31.4,34.4,mid
Denis Zakaria,59.8,42.0,28.0,50.0,64.8,28.0,35.0,41.0,58.2,64.0,74.4,64.0,62.0,50.0,61.0,74.0,73.6,29.0,75.2,61.2,49.6,54.0,39.0,55.4,52.2,57.2,mid
