name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Kim Kaellstroem,76.71,80.57,70.0,65.0,83.71,79.0,85.43,80.0,85.57,56.57,54.86,65.0,63.0,82.57,75.0,76.0,78.71,80.86,72.86,70.14,67.86,82.71,71.43,58.0,65.0,65.0,mid
Caio,71.0,74.17,68.58,73.17,72.08,69.25,77.58,79.92,68.5,67.5,66.67,62.17,57.0,79.58,61.92,45.25,77.33,78.67,63.33,58.17,70.5,73.33,65.17,22.83,23.83,21.17,mid
Yoric Ravet,69.0,68.6,62.0,50.0,66.47,59.27,64.0,41.33,55.33,81.2,84.73,74.07,68.8,70.67,50.0,76.73,67.93,68.0,34.2,39.33,67.93,66.07,47.33,35.33,32.33,34.33,mid
Marko Basic,66.67,58.0,33.0,71.33,64.0,30.0,60.0,40.0,60.0,66.0,69.0,71.0,56.0,53.0,79.67,81.0,72.67,32.0,60.0,77.0,63.0,67.0,59.0,65.0,63.0,60.0,mid
Alban Pnishi,62.8,39.0,33.0,56.8,47.0,25.0,42.0,26.0,40.0,70.0,68.0,55.0,56.0,42.0,70.8,64.0,76.0,22.0,59.0,64.4,37.0,35.0,34.0,63.8,64.6,62.8,mid
Georgi Milanov,72.0,69.5,71.5,61.5,70.5,59.0,68.5,59.5,66.5,73.0,80.0,73.0,64.0,71.5,76.0,72.0,61.0,68.5,55.5,69.0,71.5,71.5,53.5,59.5,62.5,60.5,mid
Mergim Brahimi,61.0,45.0,50.0,48.0,57.0,43.0,48.0,51.0,55.0,75.0,79.0,80.0,78.0,58.0,56.0,59.0,55.0,37.0,50.0,34.0,83.0,55.0,54.0,49.0,47.0,34.0,mid
Florian Kamberi,59.0,29.0,57.0,70.0,48.0,43.0,52.0,42.0,34.0,70.0,63.0,54.0,62.0,56.0,68.0,64.0,72.0,49.0,60.0,24.0,61.0,47.0,60.0,21.0,25.0,17.0,mid
Nikola Gjorgjev,53.8,47.2,41.4,41.2,46.0,46.0,45.0,40.2,42.2,73.6,76.8,69.4,71.6,56.8,48.0,52.2,38.0,37.6,39.2,23.6,48.0,50.8,50.2,23.2,28.2,41.2,mid
Harun Alpsoy,52.75,36.0,31.0,53.0,58.25,41.0,34.5,40.0,56.0,68.0,69.0,58.0,59.0,53.0,55.0,68.75,66.75,41.25,70.5,39.0,52.0,48.0,46.0,58.0,55.0,56.0,mid
