name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Rafal Boguski,63.0,48.33,62.33,59.33,60.33,76.33,60.33,59.33,65.33,66.0,68.67,81.0,81.0,36.0,60.0,66.0,57.33,57.33,31.33,45.33,65.33,70.33,67.0,25.33,24.33,25.33,mid
Patryk Malecki,66.2,63.4,63.2,45.4,63.6,64.4,68.4,57.4,56.4,71.0,75.0,81.0,86.0,71.6,70.0,82.8,68.2,58.4,74.4,42.4,71.6,60.8,69.4,42.4,40.4,45.4,mid
Krzysztof Maczynski,68.0,65.67,38.0,55.0,70.67,23.0,68.0,65.67,66.67,65.33,47.33,72.67,75.0,65.0,74.0,75.0,50.0,59.0,57.0,74.0,60.67,75.67,40.0,52.67,57.0,54.0,mid
Lukasz Burliga,64.25,57.75,55.5,47.75,58.75,42.75,57.75,43.75,54.75,65.0,76.0,64.0,61.0,51.75,70.5,65.0,82.0,49.75,91.0,72.75,61.0,48.75,52.75,57.25,66.5,67.5,mid
Tomasz Cywka,65.5,64.5,64.5,49.5,63.5,63.5,58.5,62.5,63.5,67.0,70.5,64.0,66.0,67.5,64.0,69.5,57.0,66.5,52.5,40.5,64.5,59.5,58.5,34.5,45.5,35.5,mid
Denis Popovic,62.0,55.0,40.0,39.0,74.0,48.0,52.0,45.0,64.0,66.0,71.0,69.0,65.0,46.0,59.0,74.0,58.0,54.0,45.0,30.0,63.0,53.0,48.0,34.0,46.0,50.0,mid
Boban Jovic,58.5,64.5,34.25,45.25,58.75,31.75,58.25,37.25,41.0,61.0,66.5,56.5,68.0,34.25,55.5,59.0,55.5,29.25,60.25,52.25,52.0,41.5,43.25,59.0,61.75,60.5,mid
Rafal Wolski,69.5,67.5,59.5,43.5,73.5,63.5,64.5,66.5,69.5,78.0,66.0,82.0,78.0,78.5,79.5,65.5,57.0,60.5,45.5,43.5,63.5,63.5,44.5,25.5,31.5,29.5,mid
Alan Uryga,59.67,48.0,40.33,63.33,58.0,35.0,33.0,38.0,48.0,49.0,49.0,42.0,44.0,48.33,77.0,65.0,80.67,45.33,60.33,59.33,39.0,47.0,46.0,60.67,66.33,61.33,mid
Wilde-Donald Guerrier,64.67,61.33,65.0,61.33,64.33,50.33,52.33,62.33,55.33,91.0,90.0,78.0,74.0,55.67,81.67,63.0,56.0,61.33,61.33,64.33,69.0,38.33,58.33,57.33,51.0,55.33,mid
Kamil Kuczak,53.75,47.75,41.75,41.75,51.75,48.75,45.75,44.75,48.75,54.75,67.0,80.0,83.0,58.75,71.0,62.0,43.0,38.75,40.75,21.75,44.75,52.75,44.75,38.75,31.75,41.75,mid
Krystian Kujawa,56.0,27.0,26.0,47.0,32.0,26.0,24.0,29.0,29.0,58.0,64.0,44.0,35.0,36.0,70.0,59.0,73.0,24.0,64.0,58.0,22.0,28.0,36.0,61.0,56.0,56.0,mid
