name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Kamil Vacek,68.0,63.0,52.0,69.0,71.0,67.0,45.0,67.0,69.0,60.0,64.0,69.0,64.0,67.0,63.0,74.0,77.0,74.0,76.0,70.0,68.0,62.0,66.0,56.0,69.0,68.0,mid
Marcin Pietrowski,64.5,50.5,47.5,53.5,66.5,50.5,58.5,57.5,60.5,70.25,63.0,62.0,57.0,59.5,63.0,82.0,75.0,65.5,73.5,60.5,60.5,58.5,57.5,65.0,65.5,57.0,mid
Patrik Mraz,64.12,64.38,49.12,62.5,59.38,37.5,61.62,66.5,60.75,71.12,63.38,63.0,59.0,43.5,68.75,60.5,61.75,48.5,52.5,70.12,53.38,50.75,38.5,58.38,63.12,65.5,mid
Uros Korun,63.0,25.0,23.0,55.0,51.0,28.0,30.0,31.0,49.0,58.0,62.0,40.0,51.0,39.0,66.0,61.0,74.0,20.0,58.0,64.0,30.0,29.0,42.0,65.0,67.0,66.0,mid
"Sasa Aleksander Zivec,26",63.67,65.33,59.67,58.67,62.67,49.67,52.67,31.67,61.67,75.33,75.33,79.67,81.33,62.67,60.33,61.67,54.0,60.33,42.67,31.67,63.67,63.67,58.67,24.0,25.33,25.33,mid
Mateusz Mak,64.75,62.25,63.25,52.25,60.25,58.25,54.25,55.25,61.25,82.0,83.0,90.75,81.5,57.25,64.0,56.0,42.5,59.25,42.25,40.25,58.25,65.75,50.25,40.75,43.25,43.75,mid
Bartosz Szeliga,60.5,61.5,56.5,31.5,62.5,62.0,48.5,41.5,52.5,77.5,80.5,68.0,71.0,57.5,53.0,72.0,70.0,54.5,49.5,49.5,52.5,48.5,49.5,58.5,61.5,50.5,mid
Gerard Badia,64.8,66.2,59.0,37.4,58.0,63.4,75.8,68.4,58.4,76.0,74.6,79.0,73.0,62.4,68.2,63.2,56.0,58.4,41.4,30.4,61.4,63.6,68.2,26.4,22.4,29.4,mid
Martin Bukata,51.0,54.0,30.0,48.0,58.0,40.0,42.0,39.0,56.0,68.0,63.0,56.0,71.0,59.0,56.0,61.0,46.0,40.0,53.0,45.0,55.0,45.0,40.0,49.0,48.0,54.0,mid
Radoslaw Murawski,63.6,57.6,41.6,57.6,67.6,41.6,54.6,36.6,61.4,71.0,71.0,75.0,75.0,61.6,80.4,78.0,57.4,48.6,72.6,57.0,50.6,64.8,46.6,60.6,64.8,60.6,mid
Kornel Osyra,63.0,24.0,41.5,62.0,57.0,43.5,23.0,31.0,53.0,58.0,60.0,39.0,58.0,39.5,71.0,75.0,70.0,32.0,55.0,65.0,27.5,44.0,40.0,66.0,68.0,61.0,mid
Tomasz Mokwa,53.0,50.33,25.33,42.33,32.33,26.33,32.33,32.33,28.33,70.0,70.0,57.33,62.0,23.33,64.0,70.0,59.0,22.33,49.33,49.33,42.33,38.33,36.33,45.33,60.0,58.33,mid
