id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
25255,Michal Papadopoulos,64.0,59.0,62.0,70.0,57.0,67.0,56.0,55.0,40.0,58.0,61.0,65.0,68.0,64.0,67.0,66.0,71.0,70.0,68.0,72.0,59.0,59.0,27.0,59.0,56.0,62.0,23.0,35.0,28.0,7.0,8.0,9.0,7.0,11.0,for
68762,Jakub Tosik,65.0,56.0,38.0,51.0,62.0,36.0,52.0,56.0,39.0,61.0,60.0,75.0,74.0,73.0,64.0,69.0,61.0,71.0,75.0,64.0,48.0,55.0,61.0,56.0,47.0,45.0,67.0,63.0,69.0,15.0,10.0,9.0,11.0,16.0,mid
68802,Lukasz Janoszka,63.5,51.0,58.5,64.0,66.0,43.0,63.0,60.0,50.0,63.0,64.0,70.0,59.0,67.0,67.0,73.0,58.0,90.0,90.0,72.0,55.0,66.0,48.0,61.0,61.0,54.0,20.0,32.0,47.0,13.0,13.0,16.0,7.0,13.0,mid
69018,Aleksandar Todorovski,65.0,58.0,40.0,59.0,61.0,40.0,59.0,40.0,31.0,55.0,62.0,73.0,72.0,67.0,65.0,72.0,57.0,79.0,71.0,71.0,37.0,62.0,60.0,47.0,45.0,27.0,65.0,68.0,67.0,15.0,10.0,6.0,15.0,16.0,def
69485,Lukasz Piatek,66.0,60.0,65.0,44.0,75.0,42.0,65.0,65.0,66.0,66.0,72.0,77.0,63.0,75.0,60.0,73.0,69.0,73.0,92.0,63.0,68.0,57.0,62.0,44.0,59.0,63.0,62.0,62.0,51.0,16.0,11.0,12.0,16.0,7.0,mid
69818,Jan Vlasko,64.0,35.0,47.0,37.0,70.0,46.0,67.0,42.0,49.0,59.0,67.0,67.0,61.0,66.0,66.0,77.0,45.0,77.0,61.0,59.0,45.0,51.0,42.0,62.0,70.0,46.0,33.0,33.0,25.0,12.0,15.0,6.0,6.0,11.0,mid
72479,Lubomir Guldan,66.0,65.0,20.0,65.0,62.0,17.0,45.0,34.0,40.0,57.0,59.0,65.0,72.0,53.0,52.0,61.0,39.0,70.0,71.0,74.0,42.0,64.0,68.0,58.0,49.0,31.0,67.0,67.0,66.0,15.0,6.0,13.0,16.0,16.0,def
116874,Krzysztof Janus,60.6666666667,60.3333333333,61.6666666667,54.6666666667,58.3333333333,45.0,60.0,57.3333333333,42.0,58.3333333333,58.3333333333,73.0,73.0,75.0,56.0,76.0,60.6666666667,74.0,73.0,67.3333333333,60.6666666667,54.0,52.0,55.0,55.0,48.0,46.6666666667,54.0,51.0,14.0,10.0,11.0,10.0,14.0,mid
118822,Maciej Dabrowski,67.0,35.0,34.0,65.0,58.0,47.0,60.0,44.0,26.0,51.0,58.0,55.0,52.0,40.0,56.0,34.0,54.0,70.0,71.0,90.0,34.0,75.0,68.0,24.0,44.0,41.0,59.0,65.0,65.0,9.0,7.0,7.0,14.0,15.0,def
163618,Dorde Cotra,65.0,58.0,26.0,62.0,44.0,31.0,46.0,48.0,35.0,41.0,48.0,72.0,67.0,72.0,63.0,62.0,71.0,60.0,83.0,79.0,63.0,74.0,78.0,50.0,52.0,34.0,68.0,66.0,65.0,14.0,14.0,10.0,12.0,13.0,def
