name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Slawomir Peszko,70.67,70.67,60.67,34.67,70.67,64.67,66.67,61.67,66.67,79.0,77.0,77.0,82.0,67.67,64.0,63.0,49.0,68.67,66.33,47.0,66.67,68.0,54.67,36.33,43.33,46.0,mid
Grzegorz Wojtkowiak,67.14,47.57,34.57,72.29,62.57,33.57,49.57,43.57,53.57,66.0,70.0,69.0,63.0,41.57,70.0,73.71,69.0,56.57,61.57,71.57,36.57,42.57,49.57,75.0,71.43,66.14,mid
Sebastian Mila,69.25,77.0,53.5,38.5,74.5,64.5,79.5,70.75,75.75,48.0,32.0,70.0,80.0,72.5,67.0,60.0,57.0,68.5,59.5,57.5,70.5,82.5,67.5,22.5,22.5,34.5,mid
Milos Krasic,71.0,74.0,63.0,62.0,72.0,68.0,76.0,69.0,64.0,78.0,79.0,72.0,52.0,76.0,52.0,38.0,56.0,66.0,49.0,39.0,65.0,69.0,71.0,29.0,34.0,32.0,mid
Piotr Wisniewski,64.33,63.33,58.33,51.33,64.33,51.33,69.33,66.33,57.33,71.67,70.67,60.0,75.0,66.33,74.0,73.0,57.0,60.33,67.33,49.33,68.33,67.33,65.33,25.33,32.33,40.33,mid
Ariel Borysiuk,68.6,58.6,51.6,51.6,70.0,60.2,45.6,54.4,69.0,64.0,64.0,68.0,73.0,74.4,78.0,71.0,64.0,70.6,80.6,70.6,55.6,72.6,46.6,59.0,67.4,65.6,mid
Stojan Vranjes,65.0,65.0,40.0,66.0,71.0,56.0,60.0,67.0,70.0,68.0,72.0,66.0,65.0,68.0,55.0,70.0,65.0,71.0,48.0,64.0,64.0,74.0,69.0,58.0,64.0,59.0,mid
Michal Chrapek,63.83,52.33,62.33,48.33,76.33,41.33,45.33,39.33,65.33,63.0,46.0,76.0,75.0,54.33,75.0,46.0,58.0,64.33,39.33,62.33,58.33,68.33,64.33,53.33,57.33,59.33,mid
Maciej Makuszewski,66.0,60.0,66.0,45.0,62.0,56.0,54.0,57.0,53.0,90.0,82.6,71.0,83.0,74.0,79.0,66.0,59.0,70.0,66.0,45.0,63.0,62.0,59.0,33.0,39.0,58.0,mid
Daniel Lukasik,67.0,61.67,28.67,52.67,64.0,39.67,70.0,62.67,67.0,55.0,54.67,66.0,71.0,56.67,55.0,73.0,71.0,57.67,62.67,81.67,60.0,67.67,44.67,62.33,70.0,61.0,mid
Bruno Nazario,65.0,59.33,56.33,42.33,66.33,63.33,61.33,58.0,60.33,70.0,67.0,78.0,72.0,58.33,53.0,55.33,51.33,53.33,27.33,21.33,59.67,66.33,54.33,20.67,21.33,22.67,mid
Aleksandar Kovacevic,62.33,48.0,41.0,55.33,62.0,30.0,43.0,39.0,62.0,69.67,71.0,53.0,68.0,49.0,71.0,64.0,68.0,38.0,71.33,79.0,31.0,58.0,45.0,41.0,60.33,64.0,mid
Lukas Haraslin,60.17,46.5,58.5,56.5,54.5,57.5,50.5,37.5,40.5,71.5,70.0,59.0,67.5,54.5,60.5,64.5,60.5,59.5,37.5,27.0,58.5,52.5,60.5,29.0,31.0,36.5,mid
