name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Ioannis Maniatis,74.33,70.33,56.33,68.33,73.33,68.33,65.33,62.33,73.33,74.0,77.0,68.0,65.0,70.33,70.0,80.0,69.0,65.33,77.33,76.33,66.33,64.33,68.33,75.33,74.33,70.33,mid
Jonathan Legear,68.0,70.0,65.5,54.5,64.5,64.5,72.0,70.0,58.5,81.5,80.5,80.0,75.0,68.5,76.5,62.0,62.0,68.5,55.5,43.5,63.5,63.5,56.5,34.5,40.5,43.0,mid
Christian Bruels,71.0,70.0,57.0,54.0,73.0,65.0,81.0,74.0,71.0,72.0,78.0,77.0,70.0,73.0,39.0,63.0,62.0,68.0,46.0,35.0,71.0,73.0,65.0,29.0,39.0,34.0,mid
Mathieu Dossevi,74.4,74.0,63.8,58.8,73.6,61.8,65.8,72.8,66.6,81.4,78.4,74.4,81.4,75.2,57.0,73.0,58.0,71.8,46.8,39.2,69.8,72.0,68.8,35.8,29.8,24.8,mid
Eyong Enoh,71.25,29.25,23.25,58.75,61.75,21.25,23.25,23.75,64.25,72.0,64.75,65.0,74.0,62.0,77.75,78.0,74.5,32.25,91.5,74.25,41.25,57.25,32.25,73.75,81.75,75.25,mid
Sambou Yatabare,69.6,59.4,64.4,56.4,73.4,46.4,58.4,57.4,69.4,69.0,70.4,63.0,51.0,68.4,66.0,79.0,78.8,61.4,80.4,68.4,69.4,71.4,63.4,58.8,64.8,58.4,mid
Adrien Trebel,70.57,64.57,46.86,32.43,73.0,67.43,64.71,62.14,69.86,81.57,74.43,77.14,86.0,74.71,58.71,75.86,62.57,68.86,70.71,64.43,68.57,72.86,54.43,43.57,63.0,42.57,mid
Corentin Fiore,57.2,23.4,25.4,58.4,61.4,26.4,21.4,31.4,62.4,62.0,65.0,67.0,66.0,49.4,57.0,54.6,49.0,35.4,56.4,58.4,21.4,56.4,40.4,59.0,60.2,60.0,mid
Julien De Sart,68.71,65.14,52.14,63.14,69.0,67.71,65.14,67.14,73.14,62.0,66.57,65.0,72.0,73.0,64.29,81.14,63.14,70.57,74.14,68.29,45.14,67.71,54.14,64.14,67.14,68.14,mid
Gabriel Boschilia,67.0,58.0,54.0,46.0,76.0,58.0,67.0,68.0,70.0,73.0,76.0,65.0,81.0,65.0,59.0,67.0,43.0,68.0,47.0,27.0,42.0,68.0,52.0,41.0,48.0,56.0,mid
