name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Steeven Langil,70.2,66.8,59.2,43.4,66.6,55.4,74.6,65.0,49.6,55.6,69.0,92.4,92.0,84.0,66.6,74.0,61.6,49.2,67.0,56.8,59.4,43.6,34.0,68.0,67.6,43.6,16.6,26.6,24.2,for
Thibault Moulin,65.0,62.0,50.0,62.0,70.0,38.0,61.0,66.0,63.0,62.0,66.0,68.0,63.0,77.0,60.0,82.0,65.0,84.0,87.0,70.0,67.0,73.0,53.0,62.0,63.0,54.0,61.0,61.0,55.0,for
Zakaria M'Sila,59.67,57.33,48.0,45.67,62.0,48.67,68.67,56.67,44.67,55.33,65.0,68.33,64.0,74.67,56.67,73.67,57.33,56.33,41.67,56.67,52.67,41.33,30.0,54.33,55.0,53.33,28.67,34.67,23.67,for
Zinho Gano,62.57,48.0,63.86,65.57,52.0,54.0,60.0,43.86,47.57,36.57,61.43,54.71,70.43,47.0,59.57,32.0,62.86,57.71,61.71,82.57,56.71,58.0,27.57,63.29,40.43,58.57,21.0,28.57,19.86,for
Siebe Schrijvers,67.22,61.44,66.11,54.22,69.0,59.22,72.67,53.22,46.22,59.89,72.44,77.78,75.78,80.67,69.44,76.11,58.78,73.67,58.89,46.0,57.22,27.22,24.44,68.44,70.22,62.22,21.22,23.22,24.22,for
Floriano Vanzo,60.5,56.5,56.0,52.0,58.5,51.5,68.0,58.5,54.5,54.5,68.0,72.0,66.0,70.25,54.5,75.0,60.5,45.0,41.0,53.5,45.5,54.5,30.5,56.5,57.5,55.5,22.5,27.5,29.5,for
Tortol Lumanza Lembi,62.0,54.0,43.0,55.0,65.0,42.0,64.0,53.0,46.0,61.0,67.0,64.0,61.0,57.0,61.0,68.0,54.0,56.0,62.0,72.0,49.0,58.0,65.0,43.0,63.0,51.0,55.0,63.0,53.0,for
Renaud Emond,67.33,47.33,72.78,68.22,59.33,65.67,58.11,61.44,62.56,32.33,62.44,65.0,68.0,65.0,67.78,60.0,65.67,65.67,62.33,67.56,60.0,35.33,37.33,72.67,57.33,67.56,21.67,22.67,20.33,for
Deni Milosevic,60.88,54.38,61.0,34.0,62.88,55.5,66.38,60.25,56.88,62.0,65.88,58.5,57.5,63.5,56.5,63.5,64.5,59.0,52.0,57.0,63.5,41.0,29.0,59.0,63.0,49.0,36.38,47.25,37.25,for
Oliver Myny,64.0,62.0,62.0,37.0,61.0,60.0,63.0,57.0,55.0,54.0,61.0,77.67,80.0,75.67,61.0,69.0,66.33,73.0,75.33,55.0,63.67,54.67,37.0,62.67,57.33,54.0,22.0,30.0,29.0,for
