name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Benjamin De Ceulaer,69.33,63.33,68.33,45.33,67.0,68.33,71.33,62.33,64.33,62.33,70.33,82.0,76.0,81.5,71.33,85.0,72.33,74.33,73.33,63.5,70.33,76.33,33.33,75.5,66.33,62.33,34.33,28.33,34.33,for
Nils Schouterden,65.67,69.67,47.67,45.67,62.67,53.67,66.33,66.67,64.67,65.67,65.33,79.0,80.0,77.0,62.67,75.0,70.67,73.33,69.33,60.0,63.67,54.67,42.67,60.33,57.0,52.67,34.67,43.67,42.67,for
Kevin Koffi,64.0,51.0,68.0,50.0,46.0,59.0,65.0,32.0,45.0,41.0,64.0,78.0,78.0,68.0,64.0,75.0,60.0,76.0,66.0,64.0,60.0,56.0,29.0,68.0,62.0,49.0,18.0,31.0,26.0,for
Eduards Visnakovs,63.67,27.67,65.33,69.33,47.67,55.0,62.67,59.67,61.67,34.67,56.33,69.0,72.0,59.67,61.67,62.33,65.67,71.0,57.0,65.0,63.67,36.67,28.67,64.33,47.67,61.67,21.0,42.33,26.67,for
Jordan Mustoe,58.6,55.8,21.2,48.0,61.4,38.2,53.4,52.2,26.2,53.0,58.8,69.0,67.0,64.0,50.0,70.0,50.2,58.2,66.4,58.2,24.0,58.2,58.0,40.2,49.2,34.2,56.2,63.6,58.2,for
Jens Cools,63.75,68.25,42.25,64.25,65.25,47.25,58.25,62.25,64.25,64.25,62.25,62.0,66.5,63.0,64.25,53.75,61.25,53.5,69.0,69.25,54.25,62.25,60.25,53.25,58.25,51.25,64.25,63.25,62.25,for
Mohammed Aoulad,67.6,63.8,65.8,62.8,61.8,64.8,73.4,63.8,66.8,59.8,70.6,76.0,74.2,72.0,64.8,67.0,69.8,74.4,73.0,67.2,67.8,37.8,21.8,66.8,62.8,54.8,19.4,33.8,28.8,for
Raphael Lecomte,64.5,63.5,53.5,54.5,65.5,62.5,63.5,53.5,65.5,64.5,64.5,72.0,73.0,75.0,65.5,62.0,63.5,56.5,64.0,58.0,64.5,62.5,36.5,64.5,64.5,57.5,19.5,20.0,19.0,for
Kenneth Schuermans,65.67,46.33,28.33,67.33,62.33,32.33,46.33,33.33,37.33,57.33,58.33,61.0,64.67,58.0,58.33,54.0,45.33,64.67,65.33,78.0,31.33,64.33,60.33,38.33,36.33,46.33,72.0,66.0,62.0,for
Frederic Gounongbe,67.0,36.75,70.25,76.75,56.75,57.75,57.25,35.75,37.75,31.75,59.25,55.75,64.25,51.0,64.25,45.75,73.25,74.25,65.75,83.0,63.75,65.75,28.75,69.75,58.75,63.25,18.25,19.75,16.0,for
