name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Jeremy Perbet,71.75,30.5,81.0,71.12,56.5,67.5,57.25,54.75,35.5,41.5,60.5,63.25,63.5,63.75,78.12,61.75,72.5,68.75,69.25,72.75,70.5,45.5,23.5,81.5,53.5,72.75,19.0,21.0,20.0,for
Francis N'Ganga,70.0,71.0,35.0,54.0,63.0,52.0,62.0,42.0,38.0,61.0,64.0,79.0,78.0,76.0,69.0,74.0,52.0,76.0,74.0,68.0,50.0,73.0,69.0,36.0,52.0,33.0,68.0,72.0,70.0,for
Sotiris Ninis,73.0,73.5,57.5,49.5,74.5,69.5,77.0,75.5,73.5,65.5,80.5,78.0,70.5,84.0,70.0,77.0,67.5,60.0,71.0,58.0,75.5,54.5,22.0,64.5,71.5,74.5,22.5,31.5,22.5,for
David Pollet,69.5,28.5,72.5,70.5,62.5,70.5,52.5,57.5,49.5,36.5,62.0,67.0,72.0,59.5,67.5,46.5,78.75,73.5,70.0,80.0,70.0,48.5,22.5,70.5,48.5,70.5,30.5,24.5,21.5,for
Amara Baby,64.0,58.67,57.67,41.67,66.67,35.67,60.67,56.67,49.67,52.33,63.67,76.0,86.0,72.0,58.67,62.0,57.67,57.0,80.0,77.0,37.67,36.67,45.67,67.67,55.67,58.67,56.67,60.67,62.67,for
Cristophe Diandy,66.0,60.25,42.25,65.0,65.0,51.25,65.25,53.25,56.25,62.25,67.25,67.0,71.0,70.0,65.25,64.0,60.25,69.5,81.0,73.5,52.25,63.25,66.5,51.25,56.25,54.25,62.0,65.75,63.75,for
Neeskens Kebano,72.0,68.0,70.29,56.43,69.29,66.29,75.57,69.14,69.14,63.14,73.71,83.0,79.71,79.86,70.43,85.0,71.86,79.71,68.86,68.0,69.57,49.43,37.43,71.14,71.0,70.0,24.43,26.43,20.43,for
Florent Stevance,63.0,64.0,66.0,65.0,63.0,58.0,59.0,57.0,48.0,59.0,57.0,71.0,76.0,58.0,58.0,59.0,72.0,72.0,67.0,75.0,64.0,55.0,31.0,62.0,65.0,54.0,21.0,21.0,25.0,for
Dieumerci Ndongala,67.0,68.4,46.6,39.4,62.0,62.4,70.8,62.0,56.4,56.4,66.8,85.0,76.8,82.8,63.2,87.8,57.6,84.8,73.8,38.6,49.2,48.4,37.4,62.2,62.4,53.4,22.2,28.4,23.4,for
Roman Ferber,60.67,44.0,63.33,66.0,61.0,37.33,59.0,44.33,33.0,58.0,61.0,59.0,54.0,43.0,49.33,45.0,65.67,59.0,54.0,73.0,57.33,44.0,22.0,60.67,49.0,59.0,12.0,15.0,17.0,for
