name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Ramon Cardozo,72.0,32.8,75.4,79.2,60.6,65.6,64.8,41.8,40.8,51.8,67.6,54.8,63.2,58.0,68.8,46.0,80.4,63.0,58.0,85.6,59.8,80.8,17.0,76.4,47.8,70.8,19.4,20.8,22.8,for
Rafael Martins,73.25,64.5,75.0,69.25,66.88,73.38,71.38,68.38,68.38,53.5,75.0,75.12,76.88,73.38,75.12,76.62,83.88,71.75,67.12,72.62,72.0,60.38,23.12,75.12,62.5,73.25,27.38,26.38,21.25,for
Nildo Petrolina,72.33,65.83,57.33,71.5,66.5,60.83,75.0,72.83,68.83,64.83,71.5,89.5,81.83,82.83,74.33,79.0,77.17,72.0,92.67,50.0,72.17,60.83,58.83,74.5,64.83,56.83,53.5,54.83,53.83,for
Luis Carlos,68.0,60.71,61.57,53.57,64.14,58.57,68.57,56.57,55.57,57.14,66.57,90.0,87.0,93.0,62.71,85.0,64.57,72.0,68.0,34.0,60.57,52.57,32.57,65.57,60.57,65.57,27.57,27.57,25.57,for
Iuri Medeiros,71.5,61.25,63.88,38.62,63.88,59.38,78.25,74.5,64.75,59.88,76.25,87.0,78.0,87.0,70.25,92.0,74.75,61.0,54.0,37.0,67.5,59.62,29.62,69.62,64.0,69.62,20.62,28.88,25.62,for
Ernest Ohemeng,64.75,50.62,57.5,39.62,52.88,42.62,74.5,43.62,40.62,37.62,69.88,89.75,88.75,86.5,58.0,85.0,61.38,63.0,72.0,45.0,41.62,26.62,21.62,56.88,51.62,49.62,18.75,23.62,20.62,for
Emmanuel Boateng,64.5,56.5,62.5,65.5,57.5,55.5,70.5,54.5,40.5,45.5,67.5,80.0,76.0,83.0,67.5,75.0,64.5,90.0,75.0,47.0,50.5,69.83,24.5,63.0,46.5,59.5,28.5,34.5,33.5,for
Patrick Andrade,61.33,54.67,50.67,46.67,67.0,45.67,59.67,60.67,49.67,64.67,65.67,70.0,71.67,68.0,54.67,73.0,62.67,55.0,53.33,65.0,43.67,41.67,30.67,58.33,62.67,52.67,45.67,46.67,58.67,for
Enca Fati,59.4,54.2,61.2,43.2,50.0,51.2,68.2,45.2,42.2,39.8,65.2,73.2,77.8,56.8,42.4,71.0,68.2,44.0,44.0,42.0,46.2,31.2,24.0,49.2,54.2,63.2,27.2,27.2,27.2,for
Alan Schons,69.5,62.0,67.75,64.0,73.0,56.0,72.5,64.5,67.0,71.0,71.0,66.0,67.75,68.0,60.0,60.0,67.0,56.0,64.0,68.0,70.0,56.0,48.0,64.0,70.0,74.0,45.0,50.25,32.5,for
