name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Ruben Ribeiro,70.0,61.0,66.0,57.0,70.0,65.0,79.0,56.0,65.0,77.0,73.0,75.0,78.0,70.0,67.0,73.0,60.0,72.0,67.0,52.0,71.0,63.0,71.0,41.0,51.0,43.0,mid
Tengarrinha,68.0,55.75,31.75,64.75,67.25,41.25,40.75,35.75,62.25,63.0,65.5,60.0,56.0,69.25,73.0,77.5,76.0,47.25,71.75,73.75,39.75,51.75,48.75,66.5,73.75,63.75,mid
Anderson Carvalho,65.33,42.0,60.0,61.0,67.0,47.0,46.0,50.0,63.0,63.0,63.0,66.0,75.0,70.0,82.0,75.33,69.0,59.0,73.0,73.0,66.0,59.0,57.0,65.0,67.0,66.0,mid
Ancelmo Junior,66.0,60.0,49.0,46.0,75.0,50.0,64.0,54.0,72.0,68.0,68.0,65.0,65.0,67.0,57.0,54.0,60.0,68.0,43.0,48.0,53.0,71.0,57.0,42.0,51.0,52.0,mid
Diego Lima,67.5,62.0,56.33,52.33,71.67,53.33,65.33,65.33,68.33,76.0,69.0,74.0,66.0,61.33,46.0,52.0,62.0,55.33,44.33,49.33,57.33,72.33,58.33,42.33,48.33,49.33,mid
Reuben Gabriel,65.67,51.0,38.0,59.0,65.0,44.0,43.0,36.0,61.0,51.0,62.0,47.0,40.0,53.0,63.0,78.0,90.0,49.0,76.0,63.0,54.0,57.0,43.0,61.0,66.0,58.0,mid
Idrissa Mandiang,67.67,47.67,37.67,68.67,69.67,42.67,48.67,39.67,65.67,53.0,55.0,40.0,49.0,71.33,55.0,81.33,83.33,48.67,84.33,64.67,49.67,55.67,52.67,62.67,67.67,66.67,mid
Anderson Correia,71.0,68.0,35.0,44.0,61.0,32.0,69.0,63.0,66.0,83.0,86.0,75.0,74.0,58.0,59.0,75.0,45.0,47.0,62.0,66.0,60.0,47.0,41.0,67.0,69.0,75.0,mid
Samu,59.5,46.5,49.5,47.5,62.0,45.5,60.5,49.5,61.5,78.0,76.0,79.0,84.0,60.5,53.0,49.0,41.0,40.5,31.5,31.5,45.5,55.5,60.5,48.5,41.5,39.5,mid
Emmanuel Hackman,63.0,26.0,24.0,62.0,42.0,31.0,27.0,30.0,28.0,39.0,48.0,41.0,58.0,68.0,67.0,64.0,69.0,29.0,70.0,66.0,23.0,28.0,46.0,58.0,70.0,64.0,mid
