name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Joao Pereira,76.33,76.44,52.67,59.89,70.67,49.67,73.67,67.33,56.33,70.22,75.89,78.0,77.0,78.33,78.33,81.11,68.0,77.0,76.67,59.33,60.67,83.67,75.78,63.0,66.0,64.0,72.78,77.44,78.11,def
Jefferson Nascimento,78.12,85.25,60.75,60.62,76.38,70.0,76.75,76.75,80.25,71.75,74.75,84.5,79.0,76.75,77.75,79.0,84.38,71.0,91.5,73.75,79.5,76.88,73.5,76.25,65.75,61.75,76.75,80.25,78.0,def
Sebastian Coates,71.6,21.8,22.4,73.6,41.4,59.4,41.8,25.4,22.6,34.4,54.4,50.0,66.2,31.0,71.4,41.0,62.4,34.4,73.0,80.6,26.4,76.6,71.8,32.4,37.4,41.4,73.2,78.2,79.2,def
Matias Ezequiel Schelotto,71.83,74.0,52.0,69.0,71.17,62.0,73.67,68.0,60.0,67.67,72.33,76.0,84.0,71.5,70.0,50.0,78.0,72.0,85.33,75.5,69.0,76.0,68.0,73.0,65.0,54.0,60.0,71.0,71.0,def
Paulo Oliveira,77.22,31.56,24.44,76.78,66.67,35.44,56.67,32.44,28.44,48.44,63.33,66.22,73.44,52.56,74.11,53.0,61.0,81.89,69.89,79.11,28.44,70.67,78.56,30.44,44.22,44.44,82.0,81.0,77.0,def
Naldo,72.5,29.62,28.62,69.38,55.88,23.62,36.62,45.62,40.62,53.12,51.38,55.0,56.0,50.0,66.12,40.0,59.62,63.0,54.0,82.0,40.62,73.62,75.25,25.62,32.62,42.62,75.12,78.88,73.88,def
Ewerton,73.4,47.4,29.4,72.3,64.6,48.4,55.6,36.4,39.4,51.4,62.3,67.7,65.1,53.4,72.8,67.7,47.9,77.6,68.4,77.6,27.8,72.3,75.6,29.4,59.4,46.4,73.4,77.0,74.8,def
Ricardo Esgaio,69.38,64.62,57.62,57.62,66.62,64.62,79.25,62.62,50.62,60.12,76.12,68.0,73.0,77.75,69.88,83.0,64.5,62.0,73.0,56.0,62.62,65.62,69.38,70.62,62.12,82.62,67.88,70.5,70.5,def
Jonathan Cristian Silva,73.12,72.38,41.0,60.0,66.75,47.75,73.25,60.75,62.5,59.75,71.25,78.88,82.0,74.25,71.62,77.0,78.75,69.88,85.38,58.0,75.5,78.75,69.75,68.75,59.75,39.75,70.0,74.88,74.0,def
Tobias Figueiredo,72.43,28.0,21.5,73.5,55.79,21.5,51.07,23.5,28.5,57.64,57.21,56.29,65.64,44.86,68.14,51.43,67.5,85.71,61.0,79.79,20.5,84.5,70.71,24.5,39.0,35.5,71.57,74.71,71.0,def
Ruben Semedo,71.0,38.0,43.0,73.0,64.0,51.0,60.0,22.0,26.0,60.0,60.0,51.0,68.0,53.0,64.0,55.0,72.0,86.0,76.0,86.0,58.0,79.0,68.0,53.5,51.0,38.0,68.0,72.0,62.0,def
