name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Ukra,72.33,76.17,63.5,60.5,66.83,67.5,76.5,73.67,71.5,64.5,74.5,76.0,78.0,80.0,69.5,72.0,74.5,73.0,67.0,56.0,68.5,64.5,29.5,68.0,65.5,66.83,20.5,21.5,24.5,for
Helder Postiga,74.0,60.0,71.5,77.0,63.0,76.5,70.5,62.0,54.0,50.0,74.5,70.0,72.0,76.0,75.0,66.0,77.5,86.0,78.0,72.0,62.0,72.0,33.0,83.0,68.0,73.0,27.0,30.0,29.0,for
Helder Tiago Guedes,66.83,56.5,68.5,62.17,58.5,65.0,64.67,43.83,48.5,43.5,64.17,68.0,77.0,76.0,73.83,66.0,67.5,71.5,59.5,66.0,52.17,51.17,24.5,68.33,67.67,75.33,23.5,27.33,24.67,for
Yazalde,69.2,61.4,67.4,67.0,64.5,64.7,71.4,68.6,53.4,58.4,68.4,73.0,77.4,70.9,67.7,66.0,75.6,70.0,66.8,81.4,62.5,62.3,34.4,67.2,66.4,62.6,21.4,25.4,24.4,for
Marvin Zeegelaar,67.0,68.78,57.67,50.33,66.22,44.33,75.67,62.22,51.56,52.89,72.67,76.33,79.22,66.67,65.33,52.11,66.78,67.33,69.44,76.11,59.11,67.56,52.67,65.78,57.11,52.56,59.89,62.33,61.22,for
Heldon,73.12,67.0,70.38,62.38,64.75,64.38,78.38,74.12,72.38,56.38,74.25,86.0,84.0,81.12,75.38,77.0,71.38,61.0,73.0,50.75,62.88,29.38,30.38,73.38,63.5,71.62,26.38,24.38,20.38,for
Ahmed Hassan Koka,73.0,29.33,78.5,80.92,59.0,72.33,65.33,65.33,40.0,45.33,68.33,61.0,65.5,58.5,72.5,45.0,78.17,44.67,75.17,79.67,67.0,79.33,22.67,73.5,55.67,78.17,27.33,22.33,24.33,for
Filip Krovinovic,68.0,65.0,51.0,43.0,80.0,51.0,71.0,65.0,49.0,73.0,73.0,68.0,67.0,51.0,52.0,75.0,59.0,55.0,47.0,47.0,55.0,41.0,30.0,65.0,74.0,58.0,44.0,47.0,49.0,for
Kuca,72.12,64.5,69.0,70.0,68.5,52.5,78.75,51.25,40.5,64.5,75.62,78.38,83.75,77.0,69.5,71.0,70.5,66.0,76.75,56.12,66.5,56.5,22.5,68.5,68.5,72.0,21.5,20.0,20.5,for
Joris Kayembe Ditu,67.11,65.78,59.44,49.44,67.22,40.44,69.56,34.44,33.44,60.44,68.33,79.44,83.89,71.0,61.44,70.0,65.44,67.0,58.0,65.67,54.44,63.78,24.78,62.33,58.56,40.44,25.67,25.0,23.44,for
