name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Ljubomir Fejsa,75.78,61.44,57.44,70.44,74.22,55.44,42.44,56.44,72.44,59.22,64.89,60.0,56.0,69.22,72.56,80.0,77.89,67.0,83.0,79.44,57.78,67.44,55.44,75.11,79.89,74.0,mid
Mehdi Carcela-Gonzalez,73.75,70.75,65.75,34.75,72.25,69.0,72.0,70.75,67.75,80.5,76.25,89.0,80.0,71.75,66.0,64.0,55.0,73.0,27.75,24.75,70.25,64.88,64.75,18.25,27.75,21.75,mid
Andre Almeida,74.6,74.6,40.6,71.2,74.2,44.6,65.6,41.6,71.4,66.8,68.8,67.0,66.2,63.6,74.2,75.6,71.0,62.6,74.6,78.8,65.0,63.8,42.6,75.2,77.4,75.6,mid
Nicolas Gaitan,82.83,85.5,73.0,57.0,83.0,84.0,88.67,72.0,80.67,85.0,82.0,88.0,83.0,75.0,65.33,70.67,50.0,74.0,57.0,40.0,79.0,84.83,71.0,30.0,42.0,43.0,mid
Pizzi,77.22,76.22,70.39,44.5,78.17,59.72,82.72,74.5,75.22,84.83,78.67,80.0,85.22,75.0,67.0,72.89,55.0,75.11,58.33,58.33,74.5,78.0,75.28,43.17,54.39,54.56,mid
Andreas Samaris,77.25,69.75,63.38,60.94,79.25,56.38,76.31,72.38,76.69,60.0,63.0,65.0,59.0,75.56,74.38,78.25,81.38,71.5,82.75,79.44,68.12,71.56,65.38,72.88,77.38,69.81,mid
Ola John,74.73,79.36,68.82,48.55,71.18,59.55,77.18,68.55,71.55,84.18,87.0,78.0,77.0,73.82,66.0,61.55,63.0,63.55,36.55,30.55,67.55,71.73,61.55,21.18,22.55,21.73,mid
Victor Andrade,72.8,67.2,65.0,53.0,65.0,68.0,61.0,66.0,57.0,90.0,92.0,91.0,90.0,76.4,60.0,75.2,32.0,67.0,58.0,34.0,63.0,63.0,66.2,28.0,31.0,27.0,mid
Anderson Talisca,76.7,71.5,78.5,62.0,76.5,75.5,75.0,78.5,78.7,73.0,77.0,73.0,60.0,81.4,38.0,77.1,64.0,81.2,67.5,58.5,82.9,74.7,69.9,42.5,59.5,40.5,mid
Goncalo Guedes,70.41,63.53,64.82,58.65,68.47,61.94,66.59,67.53,58.71,78.59,82.94,80.59,75.24,73.82,65.0,64.0,63.18,70.59,44.94,31.12,68.65,68.59,64.29,24.35,31.88,32.35,mid
Renato Sanches,69.33,57.67,60.67,53.33,70.67,63.0,62.78,56.78,64.67,74.0,77.0,71.67,79.0,79.78,58.89,67.67,74.44,67.11,79.22,65.33,71.67,69.56,69.22,42.89,62.89,48.0,mid
