name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Marco Zambelli,68.0,64.5,40.5,54.5,64.5,39.5,57.5,50.5,42.5,58.5,64.5,70.5,75.25,62.0,67.5,72.0,64.5,70.0,85.0,73.0,62.5,72.5,65.5,47.5,37.5,41.5,66.0,68.5,69.0,def
Andrea Costa,72.67,51.33,26.33,70.33,61.33,21.33,57.33,58.33,26.33,59.33,63.33,68.0,68.0,66.0,70.33,60.0,61.33,84.0,76.0,75.0,36.33,71.33,81.33,34.33,33.33,36.33,73.0,72.0,72.0,def
Lorenzo Ariaudo,70.8,34.4,29.4,71.4,59.4,21.4,39.4,40.4,29.4,64.4,59.4,44.0,55.0,44.0,65.4,62.0,46.4,76.0,60.0,68.0,33.4,73.4,71.4,32.4,44.4,29.4,75.2,75.2,72.2,def
Uros Cosic,66.5,22.25,23.0,66.25,54.25,28.25,54.25,32.25,31.25,43.25,57.25,64.0,76.0,57.0,59.25,62.0,48.25,61.0,66.0,74.5,36.25,70.25,64.25,23.25,20.25,29.25,66.75,68.75,70.75,def
Lorenzo Tonelli,75.33,40.33,24.33,76.67,55.33,32.33,45.33,37.33,22.33,58.67,55.33,61.67,64.83,54.5,74.0,60.67,51.33,77.67,60.0,76.0,24.33,79.67,77.67,22.33,29.33,34.33,78.67,78.67,76.67,def
Michele Camporese,65.75,19.5,19.5,64.5,55.5,18.0,44.5,20.5,22.5,49.5,57.0,69.75,66.0,65.0,58.5,60.0,49.75,73.0,65.0,69.0,37.5,68.25,66.0,22.5,22.5,41.5,69.0,66.0,68.0,def
Mario Rui,71.8,69.4,26.2,61.4,64.0,46.2,67.0,57.2,59.2,64.0,66.6,88.6,87.6,86.6,71.4,92.0,64.6,91.0,89.4,32.0,66.2,74.6,71.0,57.0,43.0,59.2,64.8,72.2,71.6,def
Vincent Laurini,69.0,65.0,22.0,58.0,60.0,38.0,58.0,59.0,40.0,60.0,62.0,76.0,69.0,74.0,73.0,78.0,47.0,76.0,79.0,60.0,39.0,76.0,68.0,42.0,38.0,41.0,69.0,72.0,73.0,def
Federico Barba,68.4,34.2,20.2,65.6,49.6,31.2,40.0,29.2,28.2,51.6,50.0,50.6,58.0,48.0,68.0,37.8,45.2,60.0,55.0,73.0,30.2,75.6,68.0,26.2,25.8,34.2,72.8,73.2,71.2,def
Luca Bittante,62.0,66.0,38.0,57.0,66.0,39.0,62.0,50.0,43.0,62.0,64.0,64.0,74.0,60.0,68.0,55.0,54.0,55.0,75.0,60.0,40.0,68.0,56.0,48.0,50.0,45.0,56.0,60.0,60.0,def
