name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Cristian Molinaro,71.0,76.25,32.25,59.5,72.25,52.25,71.0,43.25,67.5,77.0,83.0,69.0,68.25,68.25,73.5,81.0,75.0,58.25,75.5,72.25,61.75,45.0,62.25,67.25,73.5,75.5,mid
Giuseppe Vives,74.25,67.25,48.25,55.25,80.25,63.25,61.25,63.25,76.25,65.5,66.0,65.75,73.5,73.25,55.5,73.25,68.0,68.25,83.25,76.0,64.5,76.25,54.25,66.0,72.75,72.5,mid
Alessandro Gazzi,73.6,64.2,39.2,73.2,76.2,49.2,53.2,55.2,75.4,59.8,63.4,58.2,67.8,78.2,69.4,75.0,79.4,71.8,83.2,75.8,67.0,69.0,61.2,68.6,76.2,74.2,mid
Joel Chukwuma Obi,69.8,71.2,47.4,55.4,71.0,61.4,41.4,55.6,66.6,85.8,80.8,84.4,84.0,78.4,78.0,78.6,67.4,68.4,81.2,69.6,66.4,66.0,58.4,65.4,70.2,71.0,mid
Daniele Baselli,76.67,72.67,54.67,63.0,81.67,72.33,78.17,74.0,78.33,74.33,76.17,77.5,74.0,73.5,68.67,80.17,66.33,74.67,71.83,67.83,67.0,79.17,70.67,61.0,65.33,64.33,mid
Danilo Fernando Avelar,73.5,78.5,37.5,66.5,68.5,43.5,79.5,77.0,56.5,70.5,76.5,66.5,64.0,72.5,66.0,79.0,74.0,62.5,76.0,71.5,61.25,36.5,76.5,69.5,74.25,76.5,mid
Afriyie Acquah,72.6,67.0,48.4,60.8,76.4,49.4,56.4,53.4,74.4,79.0,79.0,82.6,75.8,71.4,73.6,85.0,70.6,64.4,83.4,67.2,66.0,71.4,59.4,57.4,70.6,71.4,mid
Davide Zappacosta,72.25,73.75,61.5,63.0,71.0,66.5,70.0,53.5,68.0,78.5,82.0,72.0,71.0,69.5,68.5,85.0,65.5,68.5,76.5,70.5,69.0,63.5,55.5,73.5,74.5,77.25,mid
Bruno Peres,73.78,76.89,49.78,62.0,71.22,60.89,74.44,52.89,64.44,86.67,88.56,76.89,70.78,76.67,61.22,87.89,68.22,70.44,70.22,69.78,68.89,51.11,56.89,72.22,75.67,75.78,mid
Gaston Silva,69.0,59.0,32.33,74.0,61.67,32.33,39.33,30.33,55.0,63.67,66.33,51.67,62.0,51.33,65.67,69.0,76.33,46.33,65.67,66.33,21.33,30.33,39.33,69.67,74.33,71.67,mid
Marco Benassi,71.57,71.29,58.29,62.29,75.71,64.71,68.86,64.29,75.86,73.29,70.14,72.29,66.0,70.14,63.29,77.71,71.57,68.86,75.14,62.57,67.14,68.29,40.29,49.14,67.14,65.14,mid
