id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
18823,Matias Silvestre,72.5,36.25,31.25,79.25,61.25,35.25,48.0,55.25,54.25,69.5,64.25,53.0,55.0,62.0,52.75,58.0,71.25,88.0,60.0,78.0,56.25,68.25,72.25,46.25,49.25,52.25,73.75,76.75,73.75,2.25,4.25,2.25,2.25,4.25,def
24789,Lazaros Christodoulopoulos,73.6666666667,74.0,71.0,61.6666666667,78.3333333333,71.3333333333,78.0,79.3333333333,75.3333333333,74.6666666667,79.6666666667,76.6666666667,75.3333333333,74.3333333333,73.3333333333,56.0,76.6666666667,62.6666666667,77.0,73.6666666667,77.0,55.3333333333,56.6666666667,76.0,74.0,72.0,43.0,54.3333333333,52.6666666667,4.33333333333,8.33333333333,5.33333333333,14.3333333333,13.3333333333,mid
25526,Andrea Ranocchia,76.6,45.2,21.2,78.7,69.2,23.2,62.6,29.2,33.2,66.8,70.8,50.8,55.4,48.0,61.0,33.0,58.2,74.5,64.6,81.6,30.2,75.3,77.9,35.2,58.8,33.2,78.6,80.6,78.0,11.2,14.2,10.2,11.2,14.2,def
25587,Lorenzo De Silvestri,76.5,77.75,39.75,78.75,68.75,59.75,70.75,63.75,61.75,65.75,72.75,79.0,84.0,72.0,74.75,58.0,73.75,78.0,85.0,79.0,74.75,74.75,74.75,65.75,48.75,51.75,72.0,76.25,76.0,14.75,10.75,9.75,13.75,13.75,mid
27702,Angelo Palombo,71.3333333333,73.0,45.0,72.0,74.0,39.0,67.0,68.0,74.0,76.0,73.0,68.0,68.0,62.0,73.0,72.0,77.0,68.0,69.0,76.0,75.0,74.0,73.0,68.0,66.0,66.0,68.0,72.0,70.0,6.0,14.0,8.0,14.0,6.0,mid
30920,Edgar Barreto,75.0,66.3333333333,52.3333333333,60.6666666667,76.3333333333,68.3333333333,68.3333333333,72.6666666667,78.3333333333,76.3333333333,75.6666666667,67.3333333333,67.6666666667,68.3333333333,75.0,62.3333333333,82.0,52.0,77.0,75.0,74.3333333333,82.3333333333,75.6666666667,67.0,78.3333333333,60.6666666667,63.6666666667,74.3333333333,75.6666666667,10.3333333333,5.33333333333,14.3333333333,13.3333333333,14.3333333333,mid
32748,Antonio Cassano,80.5,87.0,78.0,53.0,89.0,81.0,86.0,87.0,79.0,84.0,90.0,52.5,50.5,60.0,82.0,82.0,74.0,39.0,55.0,74.0,79.0,30.0,16.0,79.0,87.0,84.0,12.0,15.0,10.0,4.0,10.0,6.0,13.0,8.0,for
39331,Modibo Diakite,72.8333333333,40.3333333333,20.3333333333,67.6666666667,51.0,31.3333333333,40.3333333333,30.3333333333,30.3333333333,55.3333333333,51.6666666667,64.0,79.0,33.0,69.6666666667,33.0,78.3333333333,86.0,59.0,87.3333333333,50.3333333333,78.3333333333,73.0,38.3333333333,34.3333333333,40.3333333333,74.3333333333,75.0,73.0,10.3333333333,6.33333333333,7.33333333333,12.3333333333,12.3333333333,def
39422,Mattia Cassani,74.0,77.5,44.5,67.5,73.5,59.5,64.5,66.5,52.5,71.5,73.5,69.0,75.0,65.0,72.5,59.0,69.5,67.0,79.5,69.0,67.5,75.5,72.5,65.5,49.5,58.5,70.0,75.5,74.0,14.5,8.5,8.5,7.5,9.5,def
39540,Fabio Quagliarella,78.0,65.1666666667,80.5,62.3333333333,68.6666666667,84.1666666667,74.3333333333,78.5,69.6666666667,67.3333333333,80.1666666667,75.3333333333,68.8333333333,80.5,75.3333333333,75.6666666667,86.3333333333,69.1666666667,68.5,78.0,88.1666666667,43.1666666667,25.1666666667,81.5,69.0,79.6666666667,23.3333333333,23.5,23.3333333333,5.16666666667,6.16666666667,4.16666666667,3.16666666667,3.16666666667,for
