name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Emil Hallfredsson,75.5,70.5,60.0,65.5,79.5,66.5,73.0,70.5,76.5,67.5,68.5,64.5,64.5,80.0,77.0,82.5,80.0,77.5,81.0,72.5,69.0,73.5,68.5,63.0,73.5,71.5,mid
Urby Emanuelson,75.0,81.0,61.0,56.0,76.0,70.0,84.0,74.0,71.0,86.0,82.0,89.0,88.0,64.0,72.0,83.0,57.0,69.0,76.5,72.0,76.0,73.0,68.0,63.0,73.5,76.0,mid
Leandro Greco,71.5,70.25,51.25,66.25,77.25,68.25,62.25,71.25,75.25,69.0,66.75,69.0,59.75,72.25,71.0,76.0,69.0,71.25,78.25,65.25,59.25,73.25,47.25,66.25,69.25,66.25,mid
Francelino Matuzalem,73.0,71.0,59.0,51.0,81.0,74.0,71.0,72.0,81.0,54.0,54.0,69.0,79.0,74.0,69.0,69.0,68.0,71.0,84.0,65.0,61.0,73.0,68.0,56.0,64.0,64.0,mid
Artur Ionita,70.33,66.33,65.0,70.67,75.0,49.67,64.33,59.67,73.0,68.0,70.67,65.33,64.0,68.33,81.0,77.0,73.0,67.0,74.33,65.67,68.33,68.33,58.33,63.33,65.67,65.67,mid
Luca Marrone,71.0,59.5,39.5,73.0,75.0,45.5,62.5,61.5,77.5,55.0,65.0,61.0,61.0,77.0,69.0,69.0,73.0,76.0,73.5,70.0,55.0,72.0,60.0,65.5,70.5,72.5,mid
Pawel Wszolek,67.5,68.0,50.75,54.75,67.5,55.75,60.75,51.75,63.5,77.75,79.0,65.25,61.0,65.75,61.0,75.0,75.0,52.75,67.75,50.75,65.25,63.75,50.75,40.75,45.75,40.75,mid
Jacopo Sala,69.8,72.4,51.8,64.4,71.2,69.4,67.4,67.8,68.4,71.4,72.4,70.0,70.6,72.2,67.8,73.0,71.4,69.8,77.2,68.4,66.8,69.2,57.8,65.2,69.2,70.0,mid
Federico Viviani,71.0,65.0,47.5,46.5,75.5,59.5,72.0,73.5,74.5,71.0,70.5,71.0,70.5,74.5,66.0,76.5,69.5,75.5,57.5,67.5,58.5,72.5,67.5,47.5,63.0,59.0,mid
Mohamed Fares,59.17,52.33,61.83,57.0,51.5,53.17,65.5,43.17,33.5,74.0,76.33,65.5,60.0,59.17,55.67,58.83,65.5,62.17,34.17,24.17,48.17,48.17,63.17,24.0,24.0,24.0,mid
Luca Checchin,59.0,59.0,57.0,53.0,62.0,43.0,59.0,54.0,61.0,67.0,67.0,50.0,64.0,65.0,68.0,68.0,70.0,58.0,70.0,58.0,56.0,46.0,61.0,58.0,58.0,54.0,mid
