id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
15403,Edin Dzeko,81.0,63.0,84.0,81.0,72.0,84.0,74.0,70.0,54.0,59.0,78.0,68.0,65.0,58.0,81.0,42.0,88.0,66.0,72.0,80.0,81.0,51.0,50.0,85.0,70.0,74.0,11.0,28.0,16.0,9.0,11.0,13.0,15.0,15.0,for
22337,Leandro Castan,81.3333333333,34.0,21.0,78.0,59.0,22.0,49.0,31.0,24.0,64.0,69.0,69.0,73.6666666667,51.0,77.0,57.6666666667,63.0,81.0,69.3333333333,84.0,36.0,84.0,85.0,22.0,37.0,40.0,84.0,86.0,85.0,5.0,6.0,4.0,9.0,10.0,def
26146,Seydou Keita,78.0,52.8,54.8,73.8,80.2,66.8,63.8,60.8,57.8,69.8,81.2,66.0,67.0,69.0,78.4,58.0,78.8,74.0,69.2,79.0,72.2,75.8,82.2,75.8,78.8,60.8,67.8,80.6,76.2,6.8,6.8,9.8,5.8,6.8,mid
30682,Daniele De Rossi,83.3333333333,63.0,53.0,84.0,82.6666666667,74.0,70.3333333333,67.0,71.0,81.3333333333,78.6666666667,69.0,68.0,69.0,80.6666666667,70.0,81.0,78.0,84.0,84.0,76.6666666667,84.0,89.6666666667,60.3333333333,74.0,75.0,75.0,85.0,83.0,10.0,7.0,13.0,10.0,9.0,mid
30714,Francesco Totti,80.0,83.0,81.0,42.0,90.0,90.0,80.0,77.0,79.0,87.0,90.0,43.0,34.0,69.0,83.0,60.0,88.0,34.0,54.0,78.0,86.0,69.0,24.0,79.0,90.0,90.0,14.0,24.0,10.0,5.0,12.0,14.0,11.0,11.0,for
32746,Morgan De Sanctis,78.6666666667,15.0,15.0,15.6666666667,24.6666666667,15.0,16.3333333333,19.0,17.0,23.6666666667,22.6666666667,34.0,42.0,49.0,78.3333333333,43.0,28.3333333333,76.0,23.0,62.0,16.3333333333,34.6666666667,17.6666666667,16.3333333333,31.6666666667,24.0,17.6666666667,15.0,17.0,77.6666666667,77.6666666667,56.6666666667,82.6666666667,81.6666666667,gk
34305,Maicon,79.0,85.25,63.75,68.75,80.25,79.75,76.0,79.75,70.75,76.75,80.25,76.0,79.0,72.0,81.0,71.75,82.75,71.0,75.0,79.0,77.5,82.75,76.75,79.25,63.75,65.75,73.0,80.5,79.25,9.75,4.75,7.75,8.75,13.75,def
37950,Gervinho,80.5,75.0,72.5,63.0,71.5,70.0,82.5,69.0,43.0,67.0,79.5,92.5,92.0,88.0,79.0,76.0,69.0,65.0,91.0,55.5,60.0,51.0,39.0,81.0,75.5,63.0,19.0,29.0,20.0,14.0,5.0,12.0,10.0,13.0,for
41433,Radja Nainggolan,82.2,73.0,75.0,59.0,83.8,75.0,79.0,73.0,68.0,80.8,83.6,80.8,78.0,80.2,82.2,84.0,83.0,76.0,92.4,76.0,82.6,89.2,85.8,81.8,75.6,63.0,76.8,83.4,85.8,11.0,11.0,14.0,8.0,11.0,mid
45413,Ervin Zukanovic,70.8571428571,64.2857142857,24.1428571429,73.2857142857,60.1428571429,26.1428571429,46.5714285714,75.1428571429,73.1428571429,65.0,56.5714285714,53.7142857143,55.8571428571,48.0,67.4285714286,46.0,77.0,54.0,70.1428571429,82.1428571429,66.8571428571,69.0,77.0,37.1428571429,49.8571428571,63.8571428571,77.5714285714,78.2857142857,74.4285714286,14.1428571429,11.1428571429,7.14285714286,11.1428571429,10.1428571429,def
71466,William Vainqueur,75.0,63.0,53.0,59.0,78.0,61.0,73.0,57.0,53.0,73.0,77.0,86.0,76.0,75.0,77.0,75.0,76.0,73.0,85.0,74.0,76.0,85.0,75.0,61.0,70.0,32.0,68.0,73.0,68.0,15.0,8.0,15.0,11.0,12.0,mid
