name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Andrea Lazzari,72.0,75.0,58.0,58.0,80.0,68.0,80.0,76.0,80.0,69.0,69.0,65.0,69.0,80.0,65.0,69.0,75.0,73.0,66.0,70.0,70.0,80.0,68.0,58.0,68.0,68.0,mid
Filippo Porcari,67.67,64.33,43.33,57.33,72.0,41.33,52.33,55.33,71.0,69.0,68.67,71.67,77.0,75.33,83.0,77.0,71.67,73.33,66.33,63.0,55.67,68.67,50.33,58.33,59.67,59.67,mid
Raffaele Bianco,66.0,48.33,44.33,52.33,71.67,41.33,53.67,56.67,72.33,69.0,69.0,66.33,71.67,63.0,65.0,73.33,69.0,56.33,69.0,60.33,55.67,65.67,54.0,39.67,57.67,55.0,mid
Lorenzo Pasciuti,67.0,68.0,50.4,49.6,66.8,47.6,60.0,44.6,60.4,85.8,79.0,78.2,84.0,55.6,51.6,78.0,64.4,45.6,49.6,55.8,59.8,52.2,46.6,55.8,57.0,63.0,mid
Isaac Cofie,72.0,68.5,58.5,58.5,76.5,58.25,61.5,63.5,74.5,77.5,79.0,79.0,74.5,69.75,68.0,79.0,68.5,73.0,80.5,66.5,68.0,68.0,58.0,57.5,67.0,70.0,mid
Luca Marrone,71.0,59.5,39.5,73.0,75.0,45.5,62.5,61.5,77.5,55.0,65.0,61.0,61.0,77.0,69.0,69.0,73.0,76.0,73.5,70.0,55.0,72.0,60.0,65.5,70.5,72.5,mid
Gabriel Silva,70.25,74.5,53.5,60.0,70.75,60.5,71.5,58.5,68.5,76.0,78.0,74.0,71.5,74.5,73.75,78.25,68.25,68.75,74.0,70.5,60.5,60.25,56.5,69.25,73.25,73.25,mid
Marco Crimi,66.0,58.0,42.0,44.0,70.0,39.0,50.0,60.0,70.0,75.0,73.0,71.0,75.0,62.0,85.0,85.0,62.0,60.0,68.0,62.0,56.0,59.0,55.0,54.0,64.0,62.0,mid
Rafael Martinho,72.0,72.67,58.33,58.33,72.0,62.33,73.33,58.67,64.67,87.33,91.33,81.67,72.33,75.0,55.33,85.67,65.67,69.67,61.67,54.33,61.67,62.0,58.67,48.67,58.67,58.67,mid
Wallace,69.0,71.67,58.67,43.67,69.67,43.67,40.67,58.67,65.67,79.0,79.33,72.0,73.0,74.67,57.0,75.33,57.0,59.67,74.67,63.67,62.67,58.67,59.67,63.67,68.0,70.67,mid
Stefano Sabelli,65.33,57.33,34.33,59.33,57.0,36.33,45.33,39.33,52.33,74.33,77.33,68.0,75.0,34.33,65.0,75.33,69.0,49.33,70.33,65.67,37.33,38.33,41.33,61.33,67.67,68.0,mid
Riccardo Gagliolo,65.75,58.25,32.88,61.25,58.25,35.75,20.25,21.25,54.25,76.0,76.0,69.0,70.75,70.25,85.5,75.0,67.0,54.0,66.25,67.0,33.25,24.5,37.25,66.38,67.75,69.25,mid
Matteo Fedele,62.09,59.27,54.27,51.27,71.0,47.27,57.91,60.27,66.09,65.0,68.0,57.36,58.0,63.18,62.0,68.64,65.82,56.27,66.09,49.36,55.82,68.64,52.27,53.27,54.82,56.45,mid
