name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Goran Pandev,74.44,68.78,72.22,71.22,74.67,78.44,76.44,84.11,73.11,64.11,76.33,68.56,68.33,64.0,72.78,64.0,76.22,72.0,62.56,66.56,75.11,51.11,38.11,79.22,71.22,73.22,24.11,39.11,34.11,for
Serge Gakpe,74.75,72.25,69.25,72.25,74.25,64.25,77.25,64.25,57.25,56.25,75.25,93.0,90.0,91.0,67.25,83.5,81.25,70.0,73.0,62.0,80.75,40.25,30.25,77.25,67.25,71.25,21.75,22.25,25.75,for
Diego Capel,75.2,76.2,61.6,70.4,63.6,59.8,84.4,75.6,62.4,64.4,83.4,91.2,82.4,90.6,72.8,94.0,67.0,52.0,72.8,33.0,58.6,66.4,44.4,70.4,59.0,75.4,31.4,48.4,25.4,for
Alessio Cerci,78.27,79.91,72.45,64.09,78.27,73.82,84.27,85.64,78.0,72.27,83.91,84.18,87.64,80.0,72.64,78.0,78.18,66.18,71.45,76.18,79.91,65.64,40.18,77.18,76.82,78.82,24.0,31.0,24.0,for
Luca Rigoni,74.5,64.5,57.5,68.5,76.5,59.5,66.5,48.5,58.5,76.5,74.5,64.0,64.0,62.0,74.5,58.0,78.5,72.0,80.0,72.0,74.5,82.5,76.5,68.5,74.5,50.5,66.5,74.5,74.5,for
Tim Matavz,72.0,43.0,75.0,75.0,66.0,68.0,69.0,62.0,55.0,34.0,68.0,66.0,67.0,64.0,71.0,55.0,72.0,67.0,65.0,72.0,60.0,50.0,20.0,78.0,43.0,73.0,23.0,36.0,47.0,for
Diego Perotti,78.0,77.5,65.5,56.5,75.5,59.5,85.5,76.0,72.5,71.5,84.0,85.0,79.0,80.0,72.5,77.0,72.5,64.0,73.0,57.0,74.5,50.5,35.5,72.0,73.0,67.5,23.5,30.5,21.5,for
Darko Lazovic,72.0,67.0,73.0,54.0,72.0,70.0,77.0,71.0,79.0,63.0,79.0,87.0,77.0,75.0,53.0,67.0,66.0,49.0,60.0,41.0,60.0,67.0,24.0,79.0,68.0,51.0,26.0,33.0,28.0,for
Leonardo Pavoletti,70.5,32.5,74.5,74.5,59.5,67.5,63.5,53.5,27.5,35.5,67.5,68.0,67.0,68.0,69.5,59.0,68.5,82.0,70.0,80.0,55.5,35.5,23.5,74.5,47.5,65.5,22.5,20.5,21.0,for
Suso,74.0,69.44,62.44,51.44,73.44,54.44,85.44,82.44,73.44,68.44,83.44,78.78,77.89,86.22,60.0,84.0,60.22,51.89,55.0,48.67,73.44,30.44,24.22,67.56,77.56,63.44,22.33,26.44,22.44,for
Diego Laxalt,69.0,63.33,59.33,44.33,75.33,48.33,75.33,63.33,59.33,71.33,77.33,79.0,79.0,81.0,65.33,72.0,69.33,65.0,76.0,65.0,65.33,69.33,49.33,59.33,65.33,48.33,47.33,59.33,59.33,for
Olivier Ntcham,59.17,38.67,45.33,47.67,64.33,31.67,65.0,44.67,31.67,55.17,65.0,68.0,68.33,62.0,54.67,62.0,65.0,55.33,69.67,72.0,60.67,66.17,56.17,54.17,49.67,37.67,42.67,60.83,56.0,for
