name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Boukari Drame,73.5,76.5,31.5,55.5,67.5,58.5,64.5,50.5,57.5,78.0,84.0,82.0,74.0,76.5,82.0,84.0,74.0,69.5,76.5,68.5,64.5,48.5,54.5,69.0,76.5,79.0,mid
Luca Cigarini,77.0,77.0,58.0,48.0,84.0,70.0,79.0,79.0,82.33,69.0,65.0,77.0,78.0,72.33,52.0,75.0,59.0,75.0,76.33,70.0,54.0,82.33,73.0,52.0,65.0,57.0,mid
Giulio Migliaccio,71.0,67.5,48.5,79.5,74.5,54.5,48.5,41.5,73.5,54.0,57.0,68.0,71.0,75.5,90.0,67.0,69.5,71.5,84.5,78.5,65.5,65.5,43.5,67.5,77.5,75.5,mid
Alessandro Diamanti,75.0,76.0,62.17,61.0,79.0,77.17,85.0,81.5,74.67,68.33,65.0,69.0,71.83,76.83,51.83,68.17,62.0,76.83,63.83,33.83,76.17,76.83,68.67,26.0,32.5,27.5,mid
Carlos Carmona,73.67,73.67,34.67,58.67,77.67,62.67,64.67,67.67,75.67,78.0,76.0,79.0,81.0,68.67,66.0,91.0,61.0,62.67,87.67,77.67,65.67,71.67,64.67,68.67,76.67,78.67,mid
Marten De Roon,70.0,63.2,53.0,70.4,68.4,56.2,55.8,45.8,65.0,64.2,67.2,60.0,66.0,71.6,88.0,86.0,73.2,58.0,85.6,71.0,65.8,69.6,58.8,63.8,67.6,66.6,mid
Remo Freuler,65.0,61.75,62.5,38.5,66.25,42.5,48.5,65.0,64.5,66.0,67.5,71.25,61.0,68.5,58.0,81.0,66.0,60.5,62.5,60.5,73.5,66.25,60.5,55.5,53.5,53.5,mid
Jasmin Kurtic,74.29,66.29,48.29,64.86,76.29,66.29,68.29,70.29,74.29,68.0,68.0,64.0,62.0,82.29,64.0,81.57,84.0,76.29,80.29,73.71,64.29,68.29,64.29,66.0,76.0,76.0,mid
Andrea Conti,61.2,59.4,21.8,52.4,54.4,23.4,33.4,31.4,54.4,69.0,68.0,64.0,62.0,25.4,53.0,69.0,49.0,24.4,56.4,58.4,43.4,20.4,39.4,56.6,66.2,66.6,mid
Alberto Grassi,59.4,56.6,28.8,54.4,68.8,55.2,58.2,49.6,65.0,59.8,56.4,65.2,66.2,58.8,55.6,65.6,55.6,61.8,49.4,31.4,55.2,59.4,62.6,35.0,51.2,51.2,mid
