name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Santiago Gentiletti,74.67,48.67,17.0,75.0,61.0,29.67,59.0,50.67,54.0,63.0,63.0,69.0,69.0,61.0,75.0,62.0,69.67,76.67,62.0,76.33,40.0,78.0,75.67,28.67,45.67,42.67,76.33,77.33,76.33,def
Edson Braafheid,72.0,80.0,31.0,65.0,72.0,48.0,70.0,73.0,69.0,65.0,70.0,69.0,69.0,73.0,73.0,72.0,66.0,74.0,69.0,78.0,46.0,72.0,69.0,58.0,53.0,57.0,74.0,76.0,74.0,def
Dusan Basta,78.67,77.67,59.67,70.67,75.0,67.67,75.67,72.67,65.67,73.67,77.0,78.0,80.67,70.0,77.67,68.0,81.67,70.0,81.0,76.0,76.67,79.0,82.0,65.67,55.67,54.67,77.0,80.67,79.67,def
Abdoulay Konko,74.0,74.25,49.25,65.25,77.25,64.25,78.25,71.25,56.25,73.25,76.25,81.5,84.0,79.0,75.75,72.0,73.25,76.0,74.0,77.0,68.25,79.25,76.25,67.25,56.25,49.25,67.0,72.75,71.0,def
Milan Bisevac,76.33,46.33,41.33,75.33,72.67,41.33,47.33,42.33,45.33,71.33,68.67,52.0,66.0,51.0,70.33,52.0,68.33,73.0,72.67,80.0,54.33,79.67,77.67,48.33,57.33,58.33,78.33,78.33,74.0,def
Stefan Daniel Radu,78.33,67.67,39.67,71.67,71.67,33.67,65.67,41.67,41.67,63.67,65.67,78.0,78.0,74.0,77.67,62.0,78.67,83.0,77.0,77.0,73.67,78.67,84.67,54.67,29.67,59.67,85.0,84.33,83.0,def
Mauricio,77.0,53.38,51.38,78.5,65.38,50.38,54.38,43.38,44.38,55.38,60.38,66.5,71.75,58.0,74.25,60.0,55.38,88.0,71.5,82.38,52.38,74.25,78.25,31.38,45.38,51.38,79.25,80.0,77.75,def
Stefan de Vrij,82.0,49.0,25.0,77.0,70.0,27.0,61.0,45.0,16.0,71.0,72.0,65.0,67.0,68.0,80.0,56.0,65.0,78.0,70.5,79.0,60.0,75.0,87.0,32.0,51.0,41.0,87.0,86.0,82.0,def
Patric,65.6,64.4,28.4,64.2,70.2,24.4,49.2,45.4,47.4,54.4,66.4,70.2,67.8,65.0,62.4,58.0,51.0,68.0,75.0,69.6,49.2,63.6,67.2,35.4,61.4,40.4,60.2,65.4,63.8,def
Wesley Hoedt,72.5,45.33,29.33,73.33,68.17,26.33,54.33,30.33,35.33,69.0,64.33,61.5,66.33,44.67,63.17,45.0,50.33,74.0,65.33,84.0,39.33,72.17,69.17,28.33,37.33,36.33,75.17,73.5,66.83,def
