name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Fin Bartels,73.44,68.78,69.33,55.78,73.11,62.11,58.56,54.44,66.44,79.0,82.33,85.0,78.0,69.11,70.22,80.89,57.78,67.11,58.11,47.11,71.22,71.89,58.11,37.67,35.78,28.44,mid
Clemens Fritz,72.82,76.64,56.27,66.27,74.55,67.27,60.27,53.27,72.64,59.91,66.0,69.82,64.18,69.64,73.0,64.82,75.0,63.73,76.27,75.27,68.09,66.36,61.09,71.73,74.55,76.09,mid
Zlatko Junuzovic,77.77,82.31,68.23,55.23,79.54,73.46,85.38,88.0,77.31,80.54,76.77,88.08,90.54,75.85,66.38,94.0,63.0,77.46,78.46,75.38,70.15,78.15,70.38,68.85,69.77,63.38,mid
Philipp Bargfrede,73.17,61.17,44.08,57.5,73.17,61.42,60.0,60.17,72.5,67.42,63.75,75.67,75.17,71.92,63.83,75.5,68.33,64.0,80.67,76.17,62.17,68.17,48.17,72.67,75.0,72.17,mid
Felix Kroos,71.22,49.33,50.0,62.56,75.22,54.22,64.33,61.33,69.22,66.67,65.67,67.67,70.33,67.11,70.33,72.0,69.0,61.89,69.22,72.22,58.33,64.56,60.33,71.22,72.22,68.22,mid
Sambou Yatabare,69.6,59.4,64.4,56.4,73.4,46.4,58.4,57.4,69.4,69.0,70.4,63.0,51.0,68.4,66.0,79.0,78.8,61.4,80.4,68.4,69.4,71.4,63.4,58.8,64.8,58.4,mid
Jannik Vestergaard,74.0,44.25,33.25,85.25,65.75,38.25,40.25,29.0,56.25,47.0,37.0,32.38,28.5,81.25,34.25,63.12,93.25,40.62,80.25,74.38,42.75,49.25,45.38,72.5,79.88,68.5,mid
Melvyn Lorenzen,61.8,56.4,67.4,42.4,53.6,52.4,52.8,46.4,50.4,87.0,85.2,58.6,49.0,72.8,60.4,54.8,76.0,51.0,43.4,27.4,53.6,50.4,63.4,28.4,34.4,35.4,mid
Ulisses Garcia,61.0,56.0,28.0,54.0,49.0,28.0,39.0,31.0,40.0,74.0,78.0,65.0,65.0,34.0,60.0,79.0,73.0,29.0,61.0,59.0,45.0,35.0,34.0,51.0,63.0,63.0,mid
Maximilian Eggestein,58.33,52.67,52.67,38.0,63.33,48.67,47.67,47.67,55.67,58.67,54.33,66.33,66.33,53.67,52.67,52.0,48.33,49.67,39.67,45.67,54.0,62.0,44.67,20.67,21.67,20.33,mid
Florian Grillitsch,59.25,52.0,54.75,49.75,64.0,47.75,45.75,49.75,59.0,57.25,56.75,66.12,61.25,61.75,54.0,53.5,54.62,47.75,52.75,38.75,59.25,61.25,50.75,23.75,21.25,20.5,mid
