name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Anis Ben-Hatira,74.0,70.0,72.0,46.0,74.0,71.0,70.0,70.0,63.0,81.0,79.0,76.0,74.0,74.0,70.0,73.0,73.0,68.0,73.0,20.0,71.33,66.0,58.0,19.0,26.0,22.0,mid
Marco Russ,74.5,42.5,41.5,83.5,70.5,24.5,43.5,44.5,69.5,51.5,53.0,52.0,55.0,66.5,54.0,67.0,77.5,50.5,78.5,72.0,33.5,49.0,49.5,76.0,77.5,74.5,mid
Makoto Hasebe,74.5,77.5,44.5,62.0,76.5,56.5,70.5,60.5,75.5,65.5,67.5,74.0,71.5,64.5,73.5,80.0,66.0,52.5,72.0,73.5,63.0,74.5,48.5,69.0,74.0,75.5,mid
Johannes Flum,73.0,67.33,65.0,69.0,75.0,59.0,58.0,48.67,74.0,55.67,57.0,61.0,54.33,76.67,53.0,70.33,77.33,72.33,74.33,73.0,66.67,72.0,56.67,68.0,73.67,66.33,mid
Stefan Reinartz,77.75,60.0,47.5,79.25,75.25,47.88,39.5,52.5,72.0,52.0,72.0,33.5,49.0,76.5,54.0,91.0,86.5,62.25,85.5,83.5,43.0,59.5,49.5,79.75,82.12,78.75,mid
Slobodan Medojevic,73.5,58.0,38.0,71.0,73.0,39.0,44.0,43.0,70.0,67.0,67.0,68.0,66.0,66.0,68.0,73.5,74.5,47.0,83.0,75.5,56.0,59.0,50.0,74.5,77.5,76.0,mid
Vaclav Kadlec,71.67,53.0,74.67,64.67,62.0,70.0,51.0,61.0,55.0,87.0,87.0,84.0,73.0,67.0,77.33,61.0,54.0,65.0,63.0,40.0,71.0,65.0,65.0,26.0,29.0,25.0,mid
Aleksandar Ignjovski,72.5,64.5,40.5,58.5,72.5,49.0,63.5,57.5,67.0,74.0,74.5,77.0,76.5,64.0,64.5,78.0,66.5,56.0,79.0,74.0,56.5,65.5,47.5,70.5,75.5,78.0,mid
Sonny Kittel,68.0,64.5,62.5,49.5,72.5,61.0,71.5,68.5,64.0,69.5,68.0,78.5,75.0,57.0,72.5,58.0,48.0,56.0,38.5,37.0,64.5,67.5,59.5,21.5,23.5,22.5,mid
Marc Stendera,71.92,63.92,67.75,46.42,73.67,61.08,80.42,76.25,64.42,74.0,69.0,83.08,90.0,72.75,54.33,68.33,49.42,74.42,40.08,35.0,66.5,70.08,56.08,28.25,31.42,30.92,mid
Mijat Gacinovic,66.0,64.0,65.0,42.0,66.0,57.0,55.0,39.0,56.0,77.0,76.0,78.0,76.0,58.0,64.0,59.0,42.0,52.0,38.0,25.0,63.0,60.0,59.0,18.0,22.0,23.0,mid
Joel Gerezgiher,59.33,51.0,53.33,45.33,61.33,49.0,53.33,52.33,58.0,69.33,67.0,75.0,72.33,56.33,54.67,53.0,52.33,47.33,43.0,31.0,52.0,58.33,53.33,29.0,43.33,41.0,mid
