name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Leon Andreasen,75.75,48.75,65.75,77.75,75.75,67.75,55.75,60.75,70.75,56.75,52.5,65.25,61.0,82.75,82.0,69.25,78.0,70.75,84.75,76.75,67.75,72.75,73.75,72.75,77.75,73.5,mid
Manuel Schmiedebach,75.38,68.38,34.12,62.38,77.38,47.38,59.38,50.38,72.38,74.38,70.88,78.62,84.12,76.5,86.38,89.25,66.0,59.62,74.38,78.12,65.12,69.62,48.38,74.38,80.12,68.12,mid
Ceyhun Gulselam,71.0,40.0,47.0,80.0,71.0,49.0,22.0,66.0,65.0,55.0,55.0,53.0,45.0,79.0,48.0,69.0,84.0,75.0,72.0,72.0,42.0,56.0,36.0,77.0,72.0,70.0,mid
Charlison Benschop,72.6,58.6,73.6,65.6,69.6,59.6,59.6,67.6,57.6,71.8,75.2,54.4,57.4,84.6,41.0,76.4,90.2,67.6,73.6,28.6,70.6,67.6,73.6,27.6,43.6,25.6,mid
Edgar Prib,74.0,73.43,65.29,58.43,74.43,62.43,68.43,66.43,72.43,77.71,77.71,75.57,74.0,73.43,72.0,77.86,68.0,75.43,62.43,69.43,74.43,70.43,56.43,60.43,65.43,69.43,mid
Uffe Bech,69.0,65.5,72.0,53.5,60.5,57.5,53.0,42.5,55.75,88.0,82.5,80.5,84.0,62.5,78.0,72.5,57.5,66.5,35.5,21.5,63.0,59.75,47.5,20.5,20.5,19.5,mid
Andre Hoffmann,74.67,48.67,28.67,78.67,72.67,22.67,26.67,30.67,64.67,61.33,51.0,59.0,59.0,60.67,59.67,71.67,79.67,33.67,75.67,75.67,55.67,49.67,41.67,76.0,75.0,75.0,mid
Felix Klaus,71.2,67.2,64.2,44.4,69.4,58.8,59.4,52.4,57.4,87.6,84.6,78.2,77.6,73.4,67.0,75.2,66.4,59.8,59.4,33.4,71.4,64.4,61.4,29.4,32.4,28.4,mid
Salif Sane,74.33,60.33,30.22,81.78,75.67,22.0,29.89,57.56,64.67,65.89,59.0,54.22,43.89,69.89,53.56,75.11,80.56,49.0,80.22,79.0,37.56,55.44,42.56,74.56,81.0,65.56,mid
Oliver Sorg,72.5,67.12,38.5,57.75,69.5,57.5,58.38,49.38,61.62,75.0,74.0,81.25,84.5,81.38,63.0,72.25,64.0,64.25,70.88,75.12,46.5,55.62,50.12,74.25,76.12,77.5,mid
Iver Fossum,67.0,51.67,63.0,57.17,69.5,44.67,51.17,40.67,64.0,76.0,69.0,69.0,75.5,56.83,68.0,84.0,57.0,53.5,53.17,63.67,67.17,65.5,41.17,47.17,62.17,57.17,mid
Kenan Karaman,63.75,56.75,65.5,67.0,61.5,53.0,40.0,28.0,43.75,54.0,59.0,53.5,58.0,71.0,55.0,58.0,75.25,54.0,60.75,22.0,60.75,50.5,56.0,15.0,24.0,18.0,mid
Waldemar Anton,58.0,29.0,25.0,58.0,40.0,34.0,35.0,36.0,29.0,54.0,55.0,63.0,65.0,46.0,71.0,55.25,55.0,22.0,52.0,54.0,26.0,31.0,48.0,60.0,68.0,67.0,mid
