name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Lars Bender,81.6,69.0,59.0,75.2,81.2,57.0,49.0,47.0,78.8,66.4,69.0,65.0,66.0,74.0,76.6,94.0,76.0,70.6,78.0,86.6,69.0,76.4,52.0,77.0,84.6,80.4,mid
Charles Aranguiz,78.0,78.0,66.0,53.0,84.0,68.0,69.0,76.0,82.0,83.0,73.0,80.0,79.0,80.0,60.0,89.0,59.0,73.0,58.0,43.0,78.0,85.0,88.0,57.0,65.0,60.0,mid
Kyriakos Papadopoulos,77.8,54.4,22.4,85.6,56.4,44.4,41.4,53.4,51.4,64.2,67.2,55.2,61.6,80.2,91.0,63.6,90.0,58.4,91.4,69.4,34.4,43.4,45.4,75.6,77.6,81.6,mid
Omer Toprak,81.0,49.0,28.0,82.0,75.0,55.0,44.0,33.0,68.0,74.0,76.0,65.0,60.0,63.0,81.0,65.0,78.0,36.0,73.0,83.0,35.0,58.0,48.0,85.0,84.0,82.0,mid
Admir Mehmedi,75.33,67.0,73.0,59.17,74.17,70.33,72.17,61.17,62.5,74.17,78.5,81.0,77.17,79.5,60.17,75.0,73.0,73.17,67.17,41.17,75.83,72.33,68.17,28.17,39.17,35.17,mid
Kevin Kampl,77.0,61.75,60.0,32.75,75.83,56.83,75.58,64.0,68.58,86.0,81.42,91.42,82.25,62.25,68.25,85.5,48.25,62.25,61.75,64.83,75.0,78.67,62.33,39.17,48.08,40.83,mid
Heung-Min Son,76.4,72.6,79.2,64.4,74.4,72.4,78.4,69.4,54.2,85.6,86.6,78.6,77.6,81.4,66.8,70.2,54.0,86.0,52.4,28.4,79.4,68.4,70.4,21.8,22.6,22.4,mid
Vladlen Yurchenko,62.0,55.67,65.67,47.67,61.0,49.67,60.67,59.0,65.67,67.33,66.0,69.33,66.33,62.67,65.0,54.33,49.33,47.0,43.67,26.67,55.67,54.67,62.67,43.67,34.67,50.67,mid
Christoph Kramer,77.86,60.14,53.86,57.14,77.0,42.14,53.14,50.14,73.43,66.86,67.29,64.29,53.71,64.14,51.0,95.0,69.0,48.57,77.71,77.29,69.14,69.43,46.14,78.14,79.29,74.29,mid
Hakan Calhanoglu,78.43,77.0,71.71,52.43,78.86,69.57,89.86,93.14,75.86,75.57,73.57,77.14,76.57,86.43,56.86,68.0,52.43,87.57,55.29,42.29,74.43,79.43,74.29,31.43,41.43,42.14,mid
Julian Brandt,72.25,68.12,65.5,41.5,74.12,59.5,60.5,51.5,60.5,80.38,77.5,79.0,73.0,72.0,63.0,61.0,60.5,63.5,41.5,28.5,67.0,66.0,53.5,24.5,22.5,23.5,mid
Marlon Frey,60.0,49.5,37.5,61.5,62.5,42.5,47.5,46.5,59.5,66.0,62.0,68.0,67.5,59.5,68.5,53.0,64.0,39.5,68.5,57.5,44.5,49.5,51.5,59.5,62.5,62.5,mid
