name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Pablo Hernandez,76.0,76.0,71.0,53.0,70.0,65.0,83.0,77.0,69.0,78.33,77.0,84.0,80.33,76.0,67.0,59.0,51.0,77.0,54.0,49.0,73.0,74.0,72.0,42.0,47.0,36.0,mid
Patrick Ebert,74.0,78.11,67.56,60.22,75.33,58.11,81.89,79.89,78.11,76.78,75.22,77.78,81.89,78.89,63.44,72.56,55.33,75.56,71.89,64.78,65.89,72.89,64.89,43.67,54.89,43.0,mid
Manuel Iturra,75.0,55.33,26.33,51.33,75.67,52.33,58.33,46.33,72.0,74.0,66.33,76.0,73.0,74.33,69.0,83.0,66.0,68.33,83.33,84.0,51.33,67.33,38.33,63.33,82.33,80.33,mid
Roberto Trashorras,80.0,78.0,62.0,49.0,87.0,57.0,84.0,85.0,88.0,47.0,33.25,49.0,63.0,74.0,33.0,70.0,71.0,77.0,81.0,80.0,64.0,85.0,70.5,63.0,68.0,55.0,mid
Jose Raul Baena,78.0,58.0,47.0,61.0,81.0,48.0,62.0,58.0,70.0,64.5,44.25,60.0,61.0,69.0,75.0,75.25,78.0,57.0,92.5,86.0,53.0,61.0,56.0,74.0,82.0,74.0,mid
Aras Oezbiliz,75.67,76.67,74.0,40.67,74.67,73.0,79.0,83.0,70.67,80.67,77.67,82.0,79.0,85.0,73.0,65.0,57.0,84.0,34.67,42.67,67.0,70.0,73.67,21.67,27.67,22.67,mid
Bebe,72.38,61.38,68.75,61.5,63.0,70.5,68.5,73.0,54.25,78.12,86.5,68.12,54.25,83.5,64.25,76.62,81.5,74.5,54.5,22.5,67.0,57.25,64.5,23.5,22.5,24.0,mid
Diego Llorente,70.5,56.0,39.0,65.5,70.5,32.0,31.0,36.0,60.0,66.5,64.5,53.0,54.0,46.0,69.0,65.0,67.0,37.0,67.0,78.5,43.0,51.0,54.0,70.0,71.5,72.5,mid
Jozabed,68.0,53.14,48.0,50.14,72.71,43.57,49.43,51.14,66.29,59.86,60.0,62.57,60.57,64.43,64.57,69.43,62.86,60.0,63.57,65.14,63.71,71.14,44.14,61.29,68.43,57.0,mid
Adrian Embarba,69.5,70.5,66.88,46.62,70.62,44.75,47.5,49.25,68.88,76.75,71.62,70.12,72.62,61.38,61.38,54.88,53.25,62.62,53.25,31.25,67.25,64.25,54.75,27.75,34.0,29.75,mid
