name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Adrian Gonzalez,73.0,70.0,62.0,48.0,78.0,51.0,81.0,72.0,73.0,65.33,67.33,68.33,67.0,58.0,54.0,70.0,64.0,64.0,67.0,64.0,62.0,71.0,71.0,53.0,66.0,55.0,mid
Takashi Inui,73.75,67.75,60.25,43.0,73.75,56.25,68.75,64.75,61.5,86.0,75.75,95.0,91.75,56.0,62.25,72.25,31.5,66.0,34.75,31.75,64.5,73.75,50.75,25.75,21.25,22.25,mid
Keko,67.8,65.2,55.6,39.4,62.6,54.6,62.6,54.4,57.6,81.2,74.8,79.8,78.8,57.8,65.0,65.4,55.4,51.8,53.4,37.2,61.0,65.8,52.4,23.4,34.4,32.4,mid
Izet Hajrovic,73.89,72.11,69.44,44.33,70.0,71.44,79.78,81.78,70.0,79.0,81.33,78.33,77.0,86.22,77.67,67.44,60.0,77.11,52.22,47.33,72.33,73.89,75.22,40.33,40.33,37.33,mid
Simone Verdi,71.71,65.71,63.71,40.57,72.0,62.57,65.71,54.29,62.57,88.14,81.86,91.86,92.0,65.43,46.86,70.14,37.29,65.43,48.29,30.29,70.29,64.86,52.14,23.29,29.14,27.86,mid
Saul Berjon,73.88,75.5,69.0,49.0,75.75,68.0,72.5,68.62,69.5,81.62,79.62,71.62,62.0,78.0,78.0,62.0,78.5,76.5,60.5,41.5,74.0,65.5,75.5,25.5,32.0,23.25,mid
Jota,67.8,54.4,68.4,42.4,71.4,39.4,63.4,68.4,69.4,70.6,66.6,77.0,70.0,67.4,59.0,62.8,58.0,66.2,48.4,28.4,61.6,65.4,54.0,20.6,25.4,21.4,mid
Eddy Israfilov,68.33,48.33,50.67,53.67,69.67,44.67,53.67,50.67,59.0,68.0,69.33,75.67,59.0,78.0,74.0,78.0,79.67,64.33,81.33,67.67,54.67,73.0,46.67,55.67,64.67,69.33,mid
Dani Garcia,73.67,52.67,48.67,45.67,80.0,36.67,60.67,56.67,77.67,55.0,54.33,67.67,66.0,65.0,61.0,75.33,73.33,53.67,76.67,73.0,58.33,71.33,57.67,63.67,73.67,68.67,mid
Gonzalo Escalante,65.67,54.33,50.67,43.56,67.89,58.56,62.56,51.56,58.33,69.0,69.67,64.0,65.0,61.0,55.56,76.56,67.33,55.33,75.44,68.33,56.0,57.22,63.56,59.0,67.78,63.0,mid
