name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Jose Antonio Reyes,79.0,82.0,70.0,55.0,81.0,69.0,85.0,77.0,79.0,77.0,67.0,74.5,76.0,72.0,53.0,59.0,58.0,79.0,51.0,23.0,69.0,77.0,72.0,24.0,27.0,23.0,mid
Yevheniy Konoplyanka,82.0,77.0,79.0,49.0,81.0,67.0,83.0,77.0,78.0,93.0,88.0,83.0,81.25,78.0,66.0,77.25,59.0,84.0,48.0,37.0,73.0,80.0,75.0,21.0,38.0,31.0,mid
Ever Banega,80.71,78.43,67.0,45.0,86.71,65.0,82.0,77.71,82.71,67.86,65.0,84.0,86.0,72.0,59.0,69.0,67.57,75.43,77.0,70.0,76.43,86.0,61.0,57.0,75.86,61.0,mid
Steven Nzonzi,78.14,60.71,45.57,76.29,82.14,50.71,62.43,41.57,75.29,66.86,68.86,65.0,61.0,76.86,64.0,82.43,83.0,64.29,84.29,82.14,65.57,68.43,56.57,73.29,78.71,72.29,mid
Vicente Iborra,80.5,52.83,66.67,80.83,80.5,65.83,65.83,70.67,81.83,52.67,53.33,49.67,40.0,85.17,68.0,77.67,86.0,64.0,78.83,84.83,76.0,74.33,71.83,82.33,83.83,74.83,mid
Grzegorz Krychowiak,81.0,59.0,42.0,82.4,80.6,40.0,46.0,62.0,82.2,61.8,69.2,59.0,52.0,80.6,75.0,80.4,91.8,70.0,88.0,84.8,48.0,69.8,76.2,78.0,85.0,71.2,mid
Vitolo,80.17,78.83,76.5,62.67,79.67,54.67,70.67,61.67,76.83,79.67,81.33,73.33,62.67,69.67,59.0,73.5,76.0,73.33,61.67,24.67,79.83,78.33,73.67,24.67,20.67,22.67,mid
Diogo Figueiras,75.8,76.2,40.4,59.4,71.2,45.6,60.0,42.0,60.4,82.2,79.6,84.0,90.0,72.6,83.0,79.0,64.0,70.8,79.4,78.2,62.4,56.4,46.6,74.0,77.0,78.8,mid
Sebastian Cristoforo,71.0,50.0,36.0,57.0,76.0,36.0,59.0,35.0,77.0,71.0,67.0,73.5,87.0,71.0,61.0,59.0,57.0,70.0,82.0,76.0,59.0,66.0,59.0,67.0,73.0,72.0,mid
Juan Munoz,67.0,31.0,67.0,70.0,53.0,71.0,39.0,35.0,31.0,71.0,70.5,73.5,66.0,75.0,64.0,68.0,66.5,59.0,69.0,20.0,70.0,42.0,67.0,12.0,17.0,18.0,mid
Curro Sanchez,56.0,47.0,48.0,36.0,64.0,44.0,45.0,35.0,62.0,64.0,65.0,60.0,68.0,47.0,59.0,47.0,48.0,47.0,38.0,48.0,51.0,57.0,41.0,34.0,42.0,45.0,mid
