id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
22924,Neil Alexander,64.0,11.0,11.0,11.0,36.0,14.0,11.0,13.0,16.0,25.0,25.0,53.0,55.0,67.0,50.0,46.0,20.0,74.0,38.0,71.0,16.0,40.0,25.0,18.0,28.0,20.0,13.0,15.0,12.0,66.0,68.0,62.0,67.0,65.0,gk
32942,Don Cowie,65.2,66.2,59.2,35.2,67.2,53.2,65.2,63.2,65.8,61.2,63.2,68.4,69.0,70.2,63.2,70.2,66.2,70.2,86.0,64.6,67.2,71.2,64.2,60.8,61.2,55.2,65.2,68.4,62.2,10.2,6.2,6.2,7.2,10.2,mid
34563,Morgaro Gomis,64.0,60.0,53.0,55.0,70.0,34.0,68.0,58.0,52.0,64.0,67.0,74.0,76.0,76.0,68.0,84.0,70.0,70.0,81.0,78.0,67.0,79.0,66.0,42.0,49.0,57.0,69.0,75.0,67.0,10.0,16.0,12.0,6.0,9.0,mid
37104,Arnaud Sutchuin Djoum,65.0,52.0,52.0,47.0,72.0,55.0,66.0,57.0,53.0,71.0,66.0,71.0,68.0,75.0,67.0,70.0,65.0,65.0,74.0,73.0,59.0,53.0,57.0,63.0,58.0,51.0,63.0,65.0,64.0,16.0,13.0,7.0,8.0,12.0,for
38449,Miguel Pallardo,64.0,55.0,42.0,50.0,66.0,47.0,62.0,58.0,51.0,62.0,66.0,64.0,59.0,67.0,66.0,75.0,72.0,70.0,74.0,73.0,60.0,75.0,71.0,56.0,60.0,60.0,63.0,74.0,63.0,9.0,13.0,11.0,8.0,12.0,mid
47553,Blazey Augustyn,65.4,45.6,40.6,63.8,55.6,28.6,44.6,40.6,30.6,60.6,56.6,54.0,54.0,54.8,62.6,44.0,66.6,69.4,55.0,83.0,45.6,63.6,68.0,30.6,48.6,52.6,63.6,64.2,63.6,15.6,11.6,5.6,5.6,15.6,def
92790,Prince Buaben,62.6666666667,61.0,54.0,45.0,64.6666666667,27.0,65.0,48.0,52.0,61.0,64.0,72.0,70.0,70.0,61.0,71.0,70.0,55.0,74.0,71.0,64.3333333333,66.0,61.0,54.0,63.0,65.0,58.0,61.0,56.0,9.0,7.0,15.0,14.0,11.0,mid
114503,Abiola Dauda,67.5,42.5,75.5,56.5,58.0,64.5,64.0,48.5,41.5,47.5,61.5,79.5,80.0,72.0,64.0,73.5,75.0,60.5,62.0,67.0,67.0,53.0,33.5,63.0,49.0,44.5,33.5,30.5,22.5,15.5,14.5,6.5,11.5,12.5,for
158818,Liam Smith,54.0,55.0,31.0,41.0,42.0,23.0,48.0,32.0,31.0,30.0,47.0,67.0,66.0,50.0,48.0,71.0,27.0,63.0,63.0,44.0,24.0,56.0,54.0,41.0,34.0,42.0,49.0,57.0,57.0,6.0,13.0,7.0,9.0,10.0,def
186531,Igor Rossi,64.6,38.6,21.6,72.4,63.6,26.6,50.6,42.6,31.6,55.6,61.6,47.0,53.0,45.0,61.6,49.0,42.6,60.0,53.0,71.0,25.6,60.8,63.4,33.6,46.6,38.6,64.8,65.2,62.8,15.6,12.6,14.6,14.6,8.6,def
209815,Gavin Reilly,58.0,52.0,62.0,63.0,58.0,47.0,61.0,36.0,29.0,44.0,62.0,71.0,73.0,72.0,47.0,71.0,51.0,71.0,56.0,56.0,56.0,30.0,18.0,52.0,49.0,62.0,15.0,20.0,14.0,10.0,13.0,12.0,7.0,9.0,for
254975,Perry Kitchen,69.2,45.6,56.6,68.6,68.6,49.6,54.6,53.6,50.6,65.6,64.6,66.2,62.4,72.0,66.6,70.0,66.6,74.0,83.0,70.4,57.6,82.6,65.6,46.6,53.6,59.0,72.6,73.6,68.6,15.6,7.6,10.6,13.6,14.6,mid
261332,Alim Oezturk,64.25,31.0,31.0,63.75,61.0,38.0,50.0,40.0,44.0,58.0,54.0,64.0,68.0,46.0,55.0,53.0,72.0,76.0,64.0,84.0,62.0,56.0,62.0,21.0,43.0,41.0,61.25,65.0,64.0,7.0,10.0,5.0,14.0,11.0,def
289145,Jack Hamilton,58.0,16.0,13.0,16.0,26.0,18.0,13.0,15.0,16.0,18.0,24.0,44.0,46.0,44.0,53.0,62.0,22.0,54.0,32.0,48.0,14.0,16.0,19.0,15.0,20.5,23.0,15.0,14.0,13.0,59.0,58.0,56.0,59.0,61.0,gk
294545,Osman Sow,64.3333333333,44.3333333333,61.3333333333,61.6666666667,61.0,47.0,71.0,42.0,25.0,46.3333333333,68.0,75.0,87.0,70.0,52.0,51.0,65.3333333333,59.0,65.0,80.0,58.3333333333,54.0,25.0,61.0,57.0,62.0,21.0,17.0,21.0,10.0,8.0,11.0,11.0,12.0,for
298447,Jamie Walker,66.0,59.0,62.0,45.0,63.0,53.0,70.0,60.0,56.0,62.0,68.0,81.0,81.0,80.0,57.0,80.0,52.0,61.0,78.0,57.0,57.0,38.0,31.0,55.0,65.0,48.0,41.0,45.0,37.0,12.0,13.0,14.0,15.0,6.0,mid
355739,Callum Paterson,66.3333333333,64.6666666667,56.0,76.0,55.0,49.0,62.0,48.0,32.0,54.0,63.0,80.0,84.0,66.0,56.0,60.0,69.3333333333,92.0,88.0,90.0,45.0,88.0,58.3333333333,63.0,53.0,46.0,60.6666666667,64.0,62.3333333333,7.0,10.0,12.0,16.0,11.0,def
391041,Sam Nicholson,63.3333333333,63.3333333333,53.0,40.0,59.0,51.0,68.0,51.0,37.0,57.0,68.6666666667,90.0,86.0,80.0,49.0,81.0,61.0,49.0,70.0,56.0,55.0,36.0,29.0,46.0,53.0,46.0,33.0,29.0,29.0,12.0,9.0,7.0,6.0,14.0,mid
402765,Billy King,64.0,62.0,59.0,51.0,67.0,46.0,65.0,50.0,43.0,62.0,62.0,81.0,79.0,73.0,58.0,64.0,55.0,58.0,73.0,59.0,52.0,34.0,15.0,58.0,52.0,48.0,35.0,25.0,23.0,7.0,12.0,9.0,9.0,13.0,for
419207,John Souttar,62.7142857143,29.7142857143,21.4285714286,60.7142857143,66.8571428571,24.7142857143,66.2857142857,29.7142857143,23.7142857143,66.2857142857,68.8571428571,72.8571428571,75.5714285714,65.0,53.8571428571,58.0,37.7142857143,50.0,67.1428571429,69.4285714286,21.7142857143,54.7142857143,57.5714285714,24.7142857143,45.5714285714,33.7142857143,61.7142857143,62.7142857143,63.7142857143,12.7142857143,10.7142857143,14.7142857143,9.71428571429,8.71428571429,mid
421387,Juwon Oshaniwa,60.0,54.0,28.0,56.0,53.0,21.0,54.0,45.0,27.0,48.0,51.0,89.0,89.0,65.0,50.0,70.0,44.0,77.0,80.0,74.0,25.0,58.0,48.0,40.0,37.0,36.0,58.0,59.0,56.0,15.0,12.0,16.0,15.0,6.0,mid
445510,Jordan McGhee,59.0,43.0,19.0,57.0,54.0,25.0,42.0,38.0,27.0,41.0,48.0,64.0,66.0,56.0,54.0,61.0,41.0,80.0,62.0,71.0,23.0,57.0,57.0,24.0,31.0,37.0,59.0,62.0,60.0,10.0,15.0,15.0,15.0,16.0,def
480778,Juan Delgado,69.0,60.375,71.875,69.375,65.125,41.375,71.375,45.375,34.375,63.125,70.375,82.0,81.0,84.0,60.375,78.0,67.875,72.5,76.0,72.0,59.875,54.375,39.375,68.375,60.375,50.375,38.375,29.375,23.375,13.375,5.375,12.375,9.375,10.375,for
