name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Edward Ofere,66.33,53.0,63.0,75.33,57.0,56.0,59.33,47.0,44.0,40.0,61.33,48.0,71.0,58.0,67.0,42.33,77.0,63.0,66.0,88.0,50.0,69.0,19.0,72.0,55.33,58.0,35.0,46.0,40.0,for
Florent Sinama-Pongolle,68.0,64.0,70.0,68.0,62.0,65.0,64.0,63.0,55.0,51.0,66.0,74.0,74.0,73.0,64.0,72.0,70.0,60.0,65.0,65.0,64.0,53.0,30.0,72.0,62.0,70.0,20.0,23.0,21.0,for
Riku Riski,66.86,64.43,67.0,60.43,67.43,63.43,67.29,62.43,55.43,61.43,66.43,84.0,80.0,90.0,52.43,80.0,68.43,75.43,68.0,54.29,62.43,43.0,47.57,64.43,60.43,67.43,40.43,42.43,41.43,for
Henri Anier,63.8,30.0,65.2,61.0,47.0,54.0,63.6,38.0,30.0,32.0,63.4,75.8,74.4,74.0,50.0,61.0,74.0,61.0,59.0,72.0,62.0,30.0,36.0,63.6,58.0,66.0,13.0,16.0,13.0,for
Darko Bodul,65.33,62.33,65.33,50.33,65.33,68.33,70.33,53.33,67.33,58.33,70.33,72.0,66.0,72.0,60.33,59.0,72.33,72.0,71.0,74.0,69.33,57.33,23.33,62.33,56.33,59.33,22.33,23.33,26.33,for
Billy McKay,68.25,46.5,68.0,63.5,62.5,65.5,66.5,32.5,39.5,50.5,68.0,75.0,71.0,84.5,70.5,84.0,72.5,73.0,71.5,71.0,60.5,52.5,35.5,69.5,61.5,74.5,20.5,37.5,36.5,for
Adam Taggart,66.5,57.5,69.5,49.5,61.5,59.5,66.5,64.5,37.5,55.5,71.5,79.0,76.0,82.0,67.5,67.0,68.5,57.0,71.0,61.0,70.5,54.5,44.5,68.5,62.5,59.5,28.5,31.5,30.5,for
Simon Murray,60.0,32.0,60.0,53.0,54.0,57.0,60.0,45.0,29.0,34.0,60.0,81.0,84.0,67.5,52.0,61.0,69.0,59.0,57.0,56.0,50.0,35.0,13.0,52.0,54.0,67.0,16.0,12.0,17.0,for
Mario Bilate,62.33,30.33,64.33,60.33,55.33,47.33,61.67,34.33,29.33,42.33,62.33,79.33,82.0,70.0,50.33,43.0,73.33,67.33,59.0,84.0,60.33,60.33,22.67,50.33,50.33,64.33,23.33,21.67,23.33,for
Robbie Muirhead,57.67,33.17,60.17,61.17,53.17,36.17,60.17,36.17,28.17,35.17,60.17,58.0,66.0,59.0,56.17,65.0,65.17,70.0,57.5,66.0,62.17,33.17,23.83,53.17,50.17,65.17,23.67,20.17,24.0,for
