id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
25416,Jonathan Hayes,67.625,61.625,59.625,29.625,64.0,49.625,72.25,58.625,65.625,57.0,70.375,80.0,87.625,91.625,53.625,90.0,68.375,77.5,82.25,62.0,65.0,51.625,46.625,62.625,61.625,47.625,42.625,48.625,34.625,10.625,5.625,10.625,10.625,13.625,mid
31916,Adam Rooney,68.0,46.2,73.4,69.6,64.2,61.4,64.8,41.4,42.2,49.0,66.6,62.0,66.0,63.4,65.4,70.6,73.0,69.8,79.6,76.8,60.8,61.4,23.6,66.4,55.0,77.6,24.0,22.2,22.2,10.2,10.2,10.2,10.2,8.2,for
32419,Andrew Considine,62.0,43.4,21.0,67.4,64.4,29.4,53.8,29.4,54.4,57.0,56.4,54.0,61.0,46.0,52.4,65.4,41.4,76.0,71.8,82.0,20.2,70.4,65.0,23.0,38.4,37.4,66.6,66.2,63.4,7.4,14.4,11.4,10.4,9.4,def
32455,Barry Robson,64.0,72.8,60.4,65.2,71.8,60.8,67.2,74.8,84.8,66.6,69.8,52.4,54.2,62.0,62.8,63.0,85.8,66.6,54.0,80.0,72.8,86.8,49.2,58.8,65.8,77.6,53.8,62.8,61.8,13.8,13.8,7.8,6.8,12.8,mid
32465,David Goodwillie,68.25,63.5,66.0,69.5,64.5,61.5,68.5,42.5,39.5,63.5,68.0,77.0,90.5,79.0,60.5,70.0,71.5,84.0,75.5,70.5,61.5,58.5,33.5,65.5,63.5,72.5,20.5,22.0,21.5,10.5,10.5,12.5,6.5,15.5,for
32833,Paul Quinn,65.0,39.0,11.0,66.0,66.0,17.0,55.0,24.0,25.0,58.0,65.0,64.0,54.0,71.0,59.0,62.0,57.0,64.0,64.0,71.0,38.0,70.0,63.0,22.0,57.0,35.0,62.0,67.0,64.0,15.0,7.0,8.0,10.0,13.0,def
32844,Mark Reynolds,70.0,63.0,19.0,68.0,65.0,15.0,56.0,33.0,30.0,61.0,65.0,75.0,77.0,75.0,72.0,71.0,28.0,64.0,68.0,72.0,19.0,64.0,69.0,22.0,47.0,14.0,73.0,74.0,71.0,12.0,16.0,13.0,15.0,13.0,def
35463,Willo Flood,65.0,63.5,46.5,54.5,68.5,32.5,66.5,62.5,63.5,62.5,67.0,75.0,75.0,85.5,63.5,86.0,70.5,79.0,84.0,56.0,64.5,75.5,64.5,54.5,65.5,55.5,53.5,62.5,53.5,13.5,12.5,13.5,11.5,10.5,mid
47559,Scott Brown,63.6666666667,15.6666666667,18.3333333333,16.3333333333,23.6666666667,17.6666666667,17.6666666667,16.3333333333,15.6666666667,24.6666666667,24.0,52.0,50.0,63.0,67.6666666667,46.0,24.6666666667,64.0,28.0,56.0,18.3333333333,26.6666666667,23.6666666667,17.0,20.3333333333,21.0,17.6666666667,16.3333333333,19.6666666667,64.6666666667,61.6666666667,51.6666666667,62.6666666667,68.6666666667,gk
98057,Shaleum Logan,65.5,67.5,40.5,51.0,66.5,54.5,64.5,52.0,62.5,57.5,67.5,80.0,81.0,75.0,60.5,71.0,55.5,71.0,70.5,56.0,55.5,60.5,57.0,44.5,44.5,50.5,69.0,68.5,63.0,8.5,15.5,8.5,8.5,5.5,def
105022,Simon Church,65.0,60.0,64.0,68.0,64.0,61.0,62.0,59.0,49.0,52.0,64.0,68.0,75.0,71.0,69.0,65.0,63.0,65.0,80.0,66.0,65.0,58.0,32.0,64.0,60.0,55.0,38.0,39.0,36.0,12.0,9.0,16.0,14.0,7.0,for
118896,Peter Pawlett,69.0,65.75,67.75,33.75,67.75,52.75,72.25,23.75,24.75,52.75,70.75,86.0,87.0,80.25,57.75,73.5,64.75,70.5,75.0,69.0,60.75,56.75,23.75,68.75,68.75,61.75,32.75,19.0,18.25,8.75,15.75,12.75,15.75,7.75,mid
118897,Ryan Jack,68.5,66.5,50.5,58.5,73.5,19.0,69.5,58.5,52.5,66.5,69.5,70.0,73.0,75.0,68.5,68.5,65.5,69.0,90.0,70.0,63.5,66.5,64.5,44.5,62.5,64.5,66.5,65.5,58.5,11.5,15.5,10.5,7.5,8.5,mid
119435,Niall McGinn,68.0,64.25,69.25,65.75,62.25,60.25,69.75,70.25,74.25,52.25,71.25,84.0,82.0,80.75,65.25,81.0,66.25,66.75,80.5,56.5,60.25,52.25,47.25,66.25,62.25,70.25,21.75,22.0,22.5,9.25,14.25,5.25,14.25,12.25,for
171094,Ashton Taylor,64.8,21.4,38.4,69.0,52.4,23.0,40.4,58.4,19.8,40.4,54.4,65.0,69.0,62.0,54.4,63.4,35.4,85.8,65.4,79.2,25.4,60.4,56.4,22.6,40.4,22.2,64.0,66.6,64.0,11.4,15.4,7.4,11.4,14.4,def
180197,Adam Collin,65.3333333333,22.0,22.6666666667,24.0,25.3333333333,22.6666666667,21.3333333333,21.6666666667,24.3333333333,36.3333333333,22.6666666667,33.0,36.3333333333,43.0,65.0,48.0,31.0,55.0,27.0,63.3333333333,23.3333333333,32.3333333333,22.6666666667,21.0,32.3333333333,21.3333333333,21.0,22.0,22.0,68.3333333333,61.6666666667,58.3333333333,63.3333333333,68.3333333333,gk
180274,Graeme Shinnie,72.0,65.5,22.75,53.75,68.75,52.75,72.75,62.5,65.5,61.5,68.5,81.5,74.5,73.0,76.75,81.0,34.75,79.5,91.0,62.0,23.75,66.75,68.75,53.75,70.25,47.75,72.5,72.5,70.75,12.75,5.75,5.75,13.75,11.75,mid
190851,Kenny McLean,67.6,53.4,66.4,57.4,70.4,46.4,66.4,62.4,66.4,67.4,72.4,74.0,70.0,71.0,68.4,61.0,72.4,61.0,71.6,70.0,72.4,46.4,47.4,66.4,67.4,70.4,40.4,48.4,42.4,7.4,13.4,14.4,13.4,8.4,mid
254472,Danny Ward,58.8,17.8,16.6,17.8,29.6,17.8,21.4,19.0,18.4,25.6,24.2,44.0,42.0,32.0,60.6,60.0,24.6,55.0,45.0,62.0,19.6,24.6,21.6,21.4,23.2,25.2,21.4,22.0,20.8,61.0,57.6,59.0,55.0,62.4,gk
388894,Ryan McLaughlin,59.0,63.3333333333,40.6666666667,41.3333333333,60.3333333333,22.3333333333,57.3333333333,32.3333333333,33.3333333333,53.3333333333,64.3333333333,79.0,76.3333333333,64.0,51.3333333333,63.3333333333,24.3333333333,71.0,61.0,56.3333333333,27.3333333333,59.3333333333,50.3333333333,57.3333333333,58.3333333333,58.3333333333,51.3333333333,66.0,61.3333333333,5.33333333333,7.33333333333,14.3333333333,13.3333333333,12.3333333333,def
443967,Craig Storie,52.0,37.0,32.0,49.0,54.0,42.0,53.0,36.0,34.0,56.0,57.0,65.0,64.0,50.0,58.0,65.0,53.0,57.0,54.0,56.0,36.0,71.0,47.0,57.0,47.0,49.0,35.0,42.0,55.0,15.0,7.0,13.0,12.0,7.0,mid
551805,Scott McKenna,57.0,40.6666666667,21.6666666667,55.6666666667,42.6666666667,25.6666666667,35.6666666667,27.6666666667,30.6666666667,35.6666666667,36.6666666667,59.0,60.0,34.3333333333,52.6666666667,60.0,40.6666666667,55.6666666667,50.0,65.0,20.6666666667,50.6666666667,59.6666666667,19.0,30.6666666667,43.6666666667,58.0,62.0,60.0,10.6666666667,6.66666666667,10.6666666667,5.66666666667,8.66666666667,mid
553798,Scott Wright,53.5,52.75,51.75,36.75,50.75,39.75,58.75,43.75,33.75,45.75,59.75,70.0,63.0,57.0,38.75,73.5,53.75,33.0,36.75,40.0,42.75,27.75,22.75,48.75,50.75,55.75,23.75,30.75,22.75,9.75,13.75,9.75,6.75,15.75,for
