country,league,team,count,player_ids,ratings
Netherlands,Netherlands Eredivisie,SC Heerenveen,18,"0.0,292769,505059,466854,110214,611831,363369,112107,439148,243430.0,520659,255221,303926,243465,318809,109639,214397,215369",68.17
Netherlands,Netherlands Eredivisie,PEC Zwolle,20,"243425,562849,496356,553477,553479,46056,495222,586474,243937,209413,352365,41165,207021,278838,188089,26586,102719,467485,26538,37215",66.93
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,26,"0.0,351875,46085,183184,243482,259375,2973,113189,467494.0,45485,295087.0,38322,7604,447413,198583,45502.0,510399,37188,109639,212170,237534,26465,174054,106474,269806,281206",66.42
Netherlands,Netherlands Eredivisie,ADO Den Haag,20,"643232,279107,45860,20645,110184,243500,350986,47532,101042,586478,109647,42704,26813,212370,31731,561844,357230,417818,209373,17855",67.78
Netherlands,Netherlands Eredivisie,Feyenoord,20,"304000,26675,38865,26539,503629,150119,489288,680011,438572,185554,424879,188557,109649,26002,37139,299572,62358,560852,110161,97470",72.88
Netherlands,Netherlands Eredivisie,AZ,27,"186880,553476,21765,30602,278807,414232,209413,660130,660132,660136,35497,157101,660145,145586,172346,384446,245315,466890,467022,37206,261597,174690,159465,512747,562801,717557,422121",68.78
Netherlands,Netherlands Eredivisie,N.E.C.,23,"0.0,37889,179115,466832,466834.0,240790,410015,200743,467499.0,181294,196957,561849,238529,141126,41162,666957.0,133201,109650,129241,288349,35442,230133,215419.0",66.19
Netherlands,Netherlands Eredivisie,FC Groningen,23,"156553,440330,690188,30994,45461,62358,143512,359461,179239,212520,240556,614574,485047,147594,602836,186837,293722,26459,215005,212708,277608,484858,46079",67.78
Netherlands,Netherlands Eredivisie,Willem II,23,"10880,156546,106373,171786,45837,243481,143523,257828,292773,305831,45481,145586,17848,172346,25551,298449,101586,26708,12245,40662,112471,412708,252969",67.16
Netherlands,Netherlands Eredivisie,De Graafschap,22,"0.0,179208,209418,240788.0,351898,467488,243489,186923,657454,166065,298933.0,586678,467513,248123,351939,467024,32593,467027,248154,149211,651112.0,46059",64.5
Netherlands,Netherlands Eredivisie,FC Twente,23,"186847,613255,450708,574234,410653,619297,243493,37789,588337,562875,467521,489288,211020,371538,187336,36133,503659,560109,360559,188533,228982,209785,661884",66.26
Netherlands,Netherlands Eredivisie,SC Cambuur,27,"179201,189958,148487,213005,661902,179218,45461,304668,486819,180784,680905,110145,104003,170441,110135,25551,560853,266841,46203,489959,150248,179179,690290,161014,158841,99323,520341",64.2
Netherlands,Netherlands Eredivisie,Vitesse,21,"432421,150242,538499,71557,660154,278473,591734,207243,566158,114503,521945,541330,159854,40662,155639,660153,26458,174364,112477,157630,660165",67.77
Netherlands,Netherlands Eredivisie,Heracles Almelo,21,"31296,360560,110116,42534,158278,518535,287645,518346,26455,213167,422128,147601,213682,281110,248151,253121,243439,243473,26589,610238,351999",66.7
Netherlands,Netherlands Eredivisie,Ajax,19,"212512,178753,612836,514806,304455,209225,309505,469804,39213,352366,298448,496563,623540,164246,467479,277460,562267,264860,266526",73.39
Netherlands,Netherlands Eredivisie,Excelsior,21,"279104,110113,26499,352358,278284,26476,467466,312791,149260,45816,178767,278848,110168,192856,37173,113270,277609,467480,206809,422413,160906",65.65
Netherlands,Netherlands Eredivisie,FC Utrecht,22,"352392,661897,352404,351898,243490,257828,121642,466861,192712,462004,614453,45879,45496,105919,118848,352968,37195,611532,35022,593116,570980,109288",67.27
Netherlands,Netherlands Eredivisie,PSV,19,"150201,289441,441883,150236,31045,467495,210185,26797,240205,389845,26453,158581,209372,207642,199291,70812,166575,178765,184821",75.0
