country,league,team,count,player_ids,ratings
Belgium,Belgium Jupiler League,Sint-Truidense VV,30,"473859,613260,425426,676625,641042,27157,274456,466589,571681,179365,36522,354475,466480,130738,365244,365245,242243,38341,561611,465746,512726,210392,289248,658786,164323,364779,181842,38382,207603,215415",64.8990421456
Belgium,Belgium Jupiler League,KV Kortrijk,21,"206592,478112,192326,38257,181312,37065,70959,305214,94284,166670,478447,40520,317937,371538,581141,156693,179513,209855,294252,95614,157375",66.2280952381
Belgium,Belgium Jupiler League,KRC Genk,24,"459658,280083,261654,91929,173730,659493,80678,38969,354494,195782,437329,671331,465750,240478,32863,149219,110948,25957,282470,533228,195448,166675,37112,354175",68.8977436705
Belgium,Belgium Jupiler League,KV Oostende,17,"265123,173462,30918,38440,131531,206182,208985,38365,201811,166302,149334,38327,418105,346111,298941,107806,95615",68.1352941176
Belgium,Belgium Jupiler League,SV Zulte-Waregem,23,"425988,36872,31241,37900,563215,26771,46232,154276,630950,298665,279477,604345,465726,303179,26916,289883,299358,431589,39145,26613,38262,46335,346111",66.12394755
Belgium,Belgium Jupiler League,KVC Westerlo,20,"95904,346114,130027,148325,166664,179241,306731,201804,212598,107983,168232,42706,38323,27412,209782,68120,104410,346651,538333,212863",65.5266666667
Belgium,Belgium Jupiler League,RSC Anderlecht,24,"282012,118434,465960,306990,27696,198453,150968,424128,424129,306117,178758,179402,39631,46552,309083,21726,38368,178538,688876,38253,154867,38388,38391,195448",72.0207431457
Belgium,Belgium Jupiler League,Sporting Charleroi,24,"79247,280083,359189,277444,39578,110878,466501,93347,17703,181054,58485,214340,33605,170316,41301,430995,240478,578032,179059,521204,426174,266105,46458,178261",66.9911706349
Belgium,Belgium Jupiler League,KAA Gent,21,"289248,208929,196203,289251,467486,627547,40521,131530,49451,181069,91503,181842,46755,577045,67958,173449,71898,282671,25751,186621,346142",69.753042328
Belgium,Belgium Jupiler League,Oud-Heverlee Leuven,23,"0.0,164229.0,280968,364813,641168,318615,419238,409000,120110,181569,15938,280134,179783,11336,131404.0,105680,197848,148829,26078,303202,239599,36849.0,38777",65.2863636364
Belgium,Belgium Jupiler League,Club Brugge KV,29,"114688,465728,209922,109061,277771,38797,203666,207511,581798,41005,445873,656562,310199,201915,465724,157375,104384,465730,315459,26440,113868,34003,14557,543969,500585,305132,294254,178293,38782",70.4976048753
Belgium,Belgium Jupiler League,Standard de Liège,32,"535938,140932,462085,34183,159883,613260,202562,32657,466203,166917,512033,644002,244904,111787,67890,242719,118730,279874,659463,424391,171338,119117,33620,277848,482397,303334,174054,167057,38378,203755,365245,13191",68.9294930876
Belgium,Belgium Jupiler League,KV Mechelen,21,"311008,183585,240044,140932,173957,186184,38956,178283,401004,157490,300977,513810,181140,249237,206793,67896,21753,41818,77813,241501,302911",66.8718253968
Belgium,Belgium Jupiler League,Royal Excel Mouscron,27,"364290,387723,611714,364826,213487,487334,118879,522673,280251,466623,293003,183364,439368,39625,359378,128083,561620,277335,210138,104411,447455,658657,202471,148329,442735,36849,99320",64.4850088183
Belgium,Belgium Jupiler League,Sporting Lokeren,25,"491072,38290,38293,497753,210844,149150,203940,114216,155052,37937,67898,277821,25791,185152,181066,30934,432217,650847,72545,173922,523363,460004,287341,212285,213873",67.5287878788
Belgium,Belgium Jupiler League,Waasland-Beveren,20,"305248,561604,213799,239528,32760,200718,362187,277772,277325,201102,94008,257843,169204,208718,5272,291929,512730,466203,449276,354494",64.4875992063
