country,league,team,count,player_ids,ratings
Switzerland,Switzerland Super League,FC Luzern,23,"141704,95257,36382,34082,42276,92252,656683,185518,42294,104646,178119,132809,303906,570830,32343,304860,27232,260708,114792,166889,201704,150007,73977",63.8084541063
Switzerland,Switzerland Super League,FC Basel,27,"42113,207234,726956,156175,339992,30492,402975,25772,22834,114738,34035,458806,25794,705484,176206,40274,40536,181211,172768,521318,23148,95216,30835,384376,438780,41726,527103",69.0071818182
Switzerland,Switzerland Super League,FC Thun,24,"133126,42257,520466,121115,186524,659742,178210,93223,703659,158253,232110,320183,67389,8800,289732,184610,25809,112981,239959,462944,67304,67311,563066,113237",60.1418909593
Switzerland,Switzerland Super League,FC St. Gallen,26,"638592,566785,67333,195215,120082,641045,620061,42231,67363,278917,176298,143790,25779,72628,134132,119839,92094,35831,45780,308309,171229,413155,678384,95220,66934,210423",61.7514652015
Switzerland,Switzerland Super League,FC Zürich,25,"520450,451982,462608,42262,656668,632356,41116,3517,67008,198082,7621,540230,113235,274776,194532,92252,260964,67306,108525,254704,115700,465399,121080,34268,197757",63.1250663781
Switzerland,Switzerland Super League,Grasshopper Club Zürich,23,"614540,656653,451983,42258,177689,157856,294256,291106,180134,388903,30890,39979,80564,610359,625214,289472,155075,132814,274779,513512,173936,696435,147959",63.2435159044
Switzerland,Switzerland Super League,FC Sion,25,"0.0,94678,451335,10637,535957,482200,202663,427439,275122,450493,106559,104389,634310,38601,140495,188114,37844,32597.0,441302,538336,114794,41711,25840,95230,67349",65.3316017316
Switzerland,Switzerland Super League,FC Vaduz,28,"491016,37257,358156,41621,154261,115862,254704,209371,56868,202669,114735,256968,257845,458806,30138,214344,113227,25813,32343,114011,488297,493418,531309,301167,294256,33272,42237,308309",59.7161989796
Switzerland,Switzerland Super League,BSC Young Boys,25,"493185,25860,422412,119702,108451,388903,176680,245161,36785,37554,320184,190525,598355,71764,25815,94553,25947,733787,274787,492132,25843,45174,147959,384376,302079",66.4162112193
Switzerland,Switzerland Super League,Lugano,23,"0.0,406283.0,186948,429986,114212.0,67369,93229,282287.0,8881.0,39646,614454,8893,150084.0,340790,41415,178142,140490,491221,330458.0,173534,198500,41975.0,393337",59.8872619048
