country,league,team,count,player_ids,ratings
Poland,Poland Ekstraklasa,Lech Poznań,27,"15361,75398,30977,13449,502543,73116,728478,189190,157490,212870,75578,361403,142282,473937,304855,71775,69594,150239,419681,69479,355434,274156,69229,361714,7284,38907,306174",67.1769688645
Poland,Poland Ekstraklasa,Lechia Gdańsk,27,"206829,115724,543021,112656,426005,427161,114215,13480,208813,277935,237620,406330,69061,190801,31314,155348,69601,518628,307302,206801,557396,179817,179818,182637,13428,385273,30975",64.7316578483
Poland,Poland Ekstraklasa,Śląsk Wrocław,24,"0.0,196288,309890,69256,72458,93453,643982,522276,22831,43313,69428,43317,176704,167491,436553.0,77778,463957,429914,172896,179818,181227,618737,13554,13437",62.425
Poland,Poland Ekstraklasa,Ruch Chorzów,18,"465568,463810,30275,30278,69254,393287,168232,72489,69346,154928,275765,555650,502648,118530,433627,68732,294490,502645",61.7414565826
Poland,Poland Ekstraklasa,Zagłębie Lubin,21,"545056,0.0,163618,25255,545060,118822,69485,69818,116874,287341,68802,232143,206641,467316,239253,543298,197560,69018,208315,68762,72479",61.6566666667
Poland,Poland Ekstraklasa,Korona Kielce,25,"0.0,178435,69258,93839.0,208280,407970,77860,179375,555442,309050,182075,540098,490184,38604,154192,94419,480213,429655,31325,150239.0,89828,229737,206830,213737,32633",61.7463768116
Poland,Poland Ekstraklasa,Piast Gliwice,18,"72256,72819,281747,89270,207462,78537,74858,77774,477167,309682,69043,27630,13494,275735,429848,503098,275739,412981",61.8887254902
Poland,Poland Ekstraklasa,Wisła Kraków,26,"0.0,30978,312585,526221,181654,68766,13471,89251,245412.0,69554,176435.0,39070,68796,166717,174526,656319,142272,107848,206793,158284,557363,127959,265944,488418,139895,206844.0",63.6606060606
Poland,Poland Ekstraklasa,Pogoń Szczecin,20,"638101,277313,14658,208388,206822,579207,645704,173993,309900,69101,275726,208814,69554,362254,20118,429880,23930,0.0,463806,186463",63.6621693122
Poland,Poland Ekstraklasa,Górnik Łęczna,26,"178689,309890,309892,116872,13327,178584,258206,210721,281158,94260,206901,117556,92223,154950,13515,93261,277466,114270,69223,13549,41582,490868,275573,69238,69111,179071",59.7138888889
Poland,Poland Ekstraklasa,Cracovia,20,"154433,210978,182075,480964,114822,208743,357288,13481,237610,433675,196238,351055,36050,249059,115190,150809,275771,13436,13533,92222",62.0033834586
Poland,Poland Ekstraklasa,Legia Warszawa,24,"114816,555649,112656,89240,115739,13472,350634,656698,39102,13376,36640,206792,68937,206795,17869,198099,196824,309348,69611,182637,13551,124144,93431,69244",66.9838293651
Poland,Poland Ekstraklasa,Jagiellonia Białystok,25,"0.0,69637,79241,69261,263952.0,308631,179311.0,450740,69553,560564,206901,450742,558136,432825,196172,249550,155611.0,89827,277487,281840,361714,402419,139895,139775,16511",63.8079710145
Poland,Poland Ekstraklasa,Termalica Bruk-Bet Nieciecza,24,"68870,459659,147980,47249,307218,12320,208295,275760,13436,68786,275763,309943,206669,12374,68827,433756,69085,13538,463843,68836,115068,35444,13557,69628",60.7833333333
Poland,Poland Ekstraklasa,Polonia Bytom,30,"30976,0.0,314966.0,69382,299021,13454,69009,13334,69533,147616,36641,72613.0,138155,10933,656342.0,35901,206662,115143,72393,231638.0,573663.0,68962,68835,68839,9449,186090,98027,361712.0,13383.0,433662",62.2192307692
Poland,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,25,"0.0,69249,69252,579206,275457,248457,93450,79762,566420,429847,34336,557356,429870,115253,357302,115266,659779,363334,306507,69328,173393,186968,168295,309868,12283",60.9126984127
