country,league,team,count,player_ids,ratings
Scotland,Scotland Premier League,Celtic,25,"191616,23574,303899,575778,129819,200612,25382,32562,427061,527549,70078,166471,439369,38865,111060,31701,243160,291932,144989,185566,582499,74814,40570,237563,209405",69.46
Scotland,Scotland Premier League,Dundee United,34,"252672,0.0,36610.0,94467,654084,419207,540680.0,211849,248714,20747,34447.0,172186.0,410141,671518,25131,38700,393272,564793,164695,66753,244035,27974,30668,481106,14039,448811,417756,132701,177760,620136,179050,162548,243068,190846",62.6
Scotland,Scotland Premier League,Hamilton Academical FC,22,"490121,132111,241424,244953,502812,190493,355744,33956,562725,632488,314409,39749,17480,25674,445515,440404,642517,127140,430429,23016,41066,391038",58.61
Scotland,Scotland Premier League,Heart of Midlothian,24,"0.0,391041.0,34563.0,419207,480778,421387,22924,294545.0,209815,355739,186531,32942,38449,47553,445510,114503,402765.0,298447.0,261332,158818,37104.0,92790.0,289145,254975",63.5
Scotland,Scotland Premier League,Inverness Caledonian Thistle,20,"275936,0.0,107283.0,260486,35751,41896.0,439369,246317.0,262542.0,160495,469296,23697,229778,34259,40980,17749,95352,388793.0,303922.0,127644.0",61.98
Scotland,Scotland Premier League,Kilmarnock,31,"0.0,246316,181258,281099,171789,519951,384144,24845.0,607134,302372,80293,180137,36394,448812,159663,356400,32200,127134,28472,301241,597948.0,419136,32711,32584,744907,159373,194134,79320,430433.0,32867,303343",61.18
Scotland,Scotland Premier League,Aberdeen,24,"190851,35463,254472,98057,119435,388894,32419,32455,31916,180274,105022,443967,32833,553798,47559,25416,32844,32465,528212,171094,180197,118896,118897,551805",64.33
Scotland,Scotland Premier League,Dundee FC,23,"0.0,35587,181255,193800,186891,37774,488087.0,607130,35503.0,230819,448810,253103.0,171708.0,32449.0,186951.0,109147.0,32732.0,473822,620128,354792.0,32618,166768,210858",59.26
Scotland,Scotland Premier League,Partick Thistle F.C.,25,"0.0,640642,36611,192779,163215,11024,425251,39079,214953,448811,149174,89405,445511,308936,35787,195283,32088,195678,179810,582500,212715.0,160367,281847,215931,263676",61.09
Scotland,Scotland Premier League,Ross County FC,24,"390669,210842,21914,135335,46377,32430,95793,109622,728125,253631,32833,35398,262753,369742,294863,32465,210382,108760,23007,168673,41063,159856,35955,24439",61.57
Scotland,Scotland Premier League,Motherwell,22,"196865,34563,470022,192775,470026,201741,98959,523758,674221,37294,32826,35502,294862,696404,306651,237562,41059,41060,264686,33914,35451,488189",60.11
Scotland,Scotland Premier League,St. Johnstone FC,23,"35968,35725,181262,110738,14100,408981,67228,314399,32559,301237,449205,172489,32973,28110,282253,32725,47575,23117,189927,388456,23151,17528,29049",62.26
