country,league,team,count,player_ids,ratings
Germany,Germany 1. Bundesliga,FC Bayern Munich,22,"93447,49939,172949,46875,121633,37410,27299,116772,94886,27303,30889,36146,30894,177714,156726,141370,282691,30924,429265,36183,460632,30834",82.45
Germany,Germany 1. Bundesliga,Borussia Dortmund,21,"144993,178818,27427,36388,27365,71399,303912,50345,688295,521421,13518,73167,331528,112978,331542,150565,129944,637753,94685,37374,39455",78.66
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,25,"215168,212867,251244,667787,261653,681383,27310,109615,427062,70409,487867,34114,469700,50638,185175,29529,269788,304733,31199,208230,191080,132844,516846,37373,101501",74.16
Germany,Germany 1. Bundesliga,VfL Wolfsburg,24,"40193,115591,161421,104045,147729,520342,167065,178206,38432,298915,638778,28480,37317,188498,163670,243164,36410,259296,30820,58346,170322,169200,178812,27774",77.58
Germany,Germany 1. Bundesliga,VfB Stuttgart,23,"89240,69149,29471,450980,298923,281012,177720,47547,27324,107717,97734,68813,365624,143442,45272,141145,276700,27234,304355,94652,132843,182892,514301",72.77
Germany,Germany 1. Bundesliga,FC Augsburg,25,"72707,242308,150922,39566,245315,245526,147735,35997,201888,27425,26660,114737,39106,36035,282182,37319,114650,26982,29543,488298,111858,26618,66940,303905,129918",72.83
Germany,Germany 1. Bundesliga,SV Werder Bremen,22,"469764,166917,35852,196366,520979,35989,25366,602523,177953,164259,278823,107588,205893,134217,193866,617044,172388,493160,42860,196205,36180,303484",70.54
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,23,"147726,287894,276760,180126,36000,176953,94915,130118,59595,278863,171472,667790,49885,291425,191080,459499,193901,178804,162679,459000,426873,95228,287231",71.26
Germany,Germany 1. Bundesliga,SV Darmstadt 98,20,"51841,119427,614212,448805,93064,29340,41930,69259,335436,27485,26545,310355,115670,27352,36889,141114,36379,94876,36554,154245",69.18
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,22,"207236,195207,41618,40735,33579,37292,37678,278815,94916,469701,449232,553555,25819,26588,517346,114025,37357,58351,192625,243829,114044,264190",74.1
Germany,Germany 1. Bundesliga,Hannover 96,29,"469763,26374,115847,204169,664970,25483,748432,179491,116645,36774,303913,37550,27314,212915,375732,129462,78908,176201,69008,36186,237541,169569,80229,78314,692973,240367,112119,556029,41087",72.07
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,24,"664585,140819,173461,177942,27420,212893,189982,36774,30249,303914,614449,117432,212156,443966,240837,97746,212819,178778,34267,50661,119525,447084,27866,309496",72.98
Germany,Germany 1. Bundesliga,FC Ingolstadt 04,22,"145536,174093,240537,36380,42909,27550,433951,45254,185014,94009,176831,73409,531014,239946,171091,167008,104646,11242,34675,555385,207039,215804",69.07
Germany,Germany 1. Bundesliga,FC Schalke 04,20,"179511,266523,343748,237542,49825,95082,530859,190796,49586,68253,36784,171698,461357,425963,172887,304345,33338,145551,243164,31290",76.2
Germany,Germany 1. Bundesliga,Hamburger SV,21,"27424,157252,194533,39847,24104,198316,30986,16300,79982,26255,97747,27316,553557,49847,71768,141113,193530,128827,240348,307069,94885",73.7
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,26,"39045,155534,27155,170775,111897,158234,355357,119838,106309,158257,28081,189237,167094,30530,66757,668362,441164,212814,27475,27478,18904,448859,37087,58354,38647,553598",72.21
Germany,Germany 1. Bundesliga,1. FC Köln,19,"450976,260470,71605,167589,36934,22824,127945,307210,212815,166449,28435,177941,238438,36086,231753,303800,212377,259439,459493",73.22
Germany,Germany 1. Bundesliga,Hertha BSC Berlin,20,"212881,91984,31906,36084,298823,95081,668362,40108,36878,278831,614384,425962,39379,166452,196311,42297,113340,12330,40094,229759",72.67
