country,league,team,count,player_ids,ratings
Spain,Spain LIGA BBVA,Levante UD,27,"213504,105351,346379,40721,37656,184091,384413,477472,303088,280485,38699,513086,37441,30276,38469,287691,364244,37597,70949,476769,150632,282473,37484,466672,301809,173427,25462",72.98
Spain,Spain LIGA BBVA,Atlético Madrid,24,"30853,638089,178955,434325,30871,38424,504606,51360,354467,72623,33843,432950,184138,40139,41167,33635,184533,309334,412762,474589,316771,177126,56678,294003",77.52
Spain,Spain LIGA BBVA,Málaga CF,26,"213653,573463,38044,39198,477471,25563,46120,31047,75445,38842,104382,242887,37450,432591,18520,522203,683450,261599,282472,41707,56686,41470,112758,215927,238841,79742",74.14
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,23,"33024,33028,159881,38540,261787,639150,181297,150323,45749,154938,179772,441441,604105,33871,182224,573793,102623,616544,411617,33764,170341,96619,43375",75.4
Spain,Spain LIGA BBVA,Granada CF,25,"2752,80492,161291,104986,108572,489245,477604,170667,320686,477493,150080,30914,213702,46407,174030,213711,534484,41294,282713,495841,261609,43372,2805,239350,352887",72.05
Spain,Spain LIGA BBVA,RCD Espanyol,25,"0.0,209922.0,41622,80265,193930,452243,37654,88986,107930,185123,52004,246438,213814,46836,257855,40001.0,314947,574662,165706,532942,102879,498033,161651,190452,358138",71.65
Spain,Spain LIGA BBVA,Real Betis Balompié,28,"96652,116750,154256,196126,38064,39719,102699,531629,535600,183350,213688,111801,37824,27461,40648,193226,722766,445907,605654,239964,202210,282467,33128,2983,186991,268273,172147,30840",72.7
Spain,Spain LIGA BBVA,Real Sporting de Gijón,24,"74752,0.0,202639.0,395154.0,17299.0,359191.0,242477.0,206301,574654,282689,384374,198217,474448,298327,239965,33630,580704,150480,150764,580589,541557.0,541558.0,102394,317567.0",70.19
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,23,"495107,279173,96651,121872,37653,39584,191906,32678,151079,33756,474680,33852,115519,37451,33848,111190,40668,103905,194660,198566,37480,51953,189178",73.31
Spain,Spain LIGA BBVA,Rayo Vallecano,26,"38148,186121,46808,210065,246422,183449,359194,482331,40220,36130,150770,34104,192064,37579,49866,150731,2768,209362,256727,420568,111975,43372,406257,2802,427893,75004",73.98
Spain,Spain LIGA BBVA,SD Eibar,23,"177475,433311,33958,33959,40501,202553,113311,298940,280638,33856,156097,369859,193224,246218,449484,150735,213712,244563,449492,200917,187360,97762,434404",71.18
Spain,Spain LIGA BBVA,Getafe CF,24,"0.0,690308.0,67334,195335.0,369800,477595,109222,38573.0,240054,394825,75192,262592.0,100033,37449,46391,112205,389202,518240.0,37479,183548,32999,213489,188540,523390",72.94
Spain,Spain LIGA BBVA,Villarreal CF,23,"37506,113672,182921,562062,183185,42479,474672,571685,282281,189101,45744,34952,517941,193978,358127,38467,160844,201939,96623,210164,574200,79737,268282",75.43
Spain,Spain LIGA BBVA,Real Madrid CF,22,"359193,30893,31921,282674,28467,26166,25921,37442,230982,164684,208077,191315,40672,95078,51949,208494,30962,239219,31097,213499,635772,281085",81.16
Spain,Spain LIGA BBVA,Real Sociedad,23,"485141,201111,80295,33960,102620,607148,409005,245555,282676,102622,282678,33973,41156,47565,75342,46289,101590,678234,128732,205278,99047,361322,150649",74.54
Spain,Spain LIGA BBVA,Valencia CF,26,"192770,391058,428947,489240,361757,241825,184999,93480,361770,75307,185644,75310,359197,46384,318526,570432,40139,193869,432463,40148,324578,96613,361710,173427,74747,35324",77.6
Spain,Spain LIGA BBVA,FC Barcelona,21,"38818,26403,33988,522579,154257,189192,195305,184554,30955,37421,19533,25773,39792,33992,150739,26005,212472,477615,40636,37482,30981",82.28
Spain,Spain LIGA BBVA,Sevilla FC,26,"41092,111237,33030,213805,26392,151063,108568,561433,103450,209950,38821,77741,39215,109621,122047,640725,97498,242783,181984,306407,40940,38385,300532,154232,161660,150869",76.66
Spain,Spain LIGA BBVA,UD Las Palmas,24,"0.0,37510.0,179083.0,11736,638105,213916,46621.0,105925,292262,484906.0,33963,291635,477498,358339,243781,33761,183497,71498,190669,150872,213729.0,74989,74991,643570",70.11
Spain,Spain LIGA BBVA,RC Celta de Vigo,19,"425985,358148,183462,246177,174472,49847,49836,396526,72623,18673,71602,172948,213486,360918,74169,246201,130298,466132,213694",75.06
