country,league,team,count,player_ids,ratings
France,France Ligue 1,SC Bastia,21,"46243,46244,42693,26118,26216,564856,664587,156716,143757,194479,25329,602211,11316,407765,40758,131991,352888,33812,277439,179517,40197",68.65
France,France Ligue 1,Girondins de Bordeaux,30,"562688,166019,466308,198277,352833,612747,40707,41238,519575,41093,26144,292772,26154,529324,684978,535603,214452,26168,289140,94010,30907,625340,179393,41174,504033,512740,297579,161396,154230,602493",71.49
France,France Ligue 1,LOSC Lille,27,"289155,466439,150026,438167,41232,611223,448540,644001,145061,26291,32575,25540,213319,319822,165583,40020,435669,162914,30563,210406,365672,242156,41332,147958,357881,26107,369788",71.0
France,France Ligue 1,Olympique Lyonnais,24,"426880,664961,182923,182925,41360,38802,40730,93985,40740,93488,71602,612277,210117,210119,210120,40016,38994,26324,469852,282472,40060,169193,167035,473852",74.19
France,France Ligue 1,Olympique de Marseille,26,"210691,280965,32627,27277,26126,346004,421786,199834,41892,282286,562995,23988,31037,31300,278341,149962,299984,357080,210398,254308,31293,248689,109298,167027,473855,612863",73.82
France,France Ligue 1,Montpellier Hérault SC,27,"210692,202633,215307,287245,26138,93466,26399,93984,562721,41124,574642,355901,134221,244558,40659,33109,74838,559065,210142,229855,155623,503149,46705,546034,157560,154233,564859",70.15
France,France Ligue 1,FC Nantes,25,"0.0,169217.0,279172.0,317062.0,536584,109065,40714,41103,211089.0,562719.0,46755,158886,52265,303155,562697,26171,562698,439366,5202,263511,467689,263276,38253.0,348408.0,37756.0",69.67
France,France Ligue 1,OGC Nice,25,"173952,560900,470539,239259,155548,39965,574633,26155,93485,26163,719413,169015,200509,500939,294859,536526,427855,210128,613715,40537,352860,26335,306128,510569,94318",69.45
France,France Ligue 1,Toulouse FC,23,"303360,166020,210184,169865,435214,190741,605848,698273,21414,164519,103470,466357,642618,279879,26326,16493,563069,129393,292978,206711,195706,696443,188413",71.23
France,France Ligue 1,ES Troyes AC,30,"634113,465924,167557,39303,281999,79248,614163,210452,423190,38435,93994,46891,243248,354482,26420,601783,154228,40007,41160,33100,148314,33116,363359,19297,720738,26354,94324,16254,602493,466430",66.33
France,France Ligue 1,En Avant de Guingamp,23,"46338,89475,120598,26374,26114,26256,41361,41364,168342,606491,491167,277412,693171,186805,103869,11329,40007,104404,26330,109280,37986,230900,156664",70.31
France,France Ligue 1,AS Monaco,27,"361792,37549,563216,359188,29590,150297,108075,445868,24493,161328,39990,478393,446266,291643,361790,30911,38336,468931,267894,488139,450002,435669,533212,115184,40819,413557,215798",73.59
France,France Ligue 1,Stade de Reims,29,"0.0,89476,562695,103468,41175,426892.0,184591,26264.0,46704,26402.0,46892,30900,140982,159839,46653,277443,128456,29259,181197,613714,424918.0,256727,191583,277347,681965,254702,46448.0,94321,210683.0",69.71
France,France Ligue 1,Stade Rennais FC,24,"207617,42119,79246,154264,643229,147614,231199,69541,191788,11319,716998,33744,179793,94549,304856,148830,444000,41189,40683,352887,692984,30457,189181,303358",72.47
France,France Ligue 1,AS Saint-Étienne,27,"0.0,179845,41097,159882,242958,264085,391064.0,35499,145070,188465,26162,237631,26051,40006,307017,40018,210390,134232,158297.0,699362,210404,201938,41198,360560,26353,94323,26236",72.93
France,France Ligue 1,Angers SCO,24,"173955,277384,41098,79248,187669,103964,93470,93358,46256,310836,426553,179901,195263,361793,292678,78411,210387,26327,148828,160222,303334,491883,34003,426612",66.92
France,France Ligue 1,SM Caen,23,"0.0,289155,46342,46757.0,264085.0,128666,671644,45473.0,103714,46726,33451,352943,354485,26167,11324.0,210126,215766.0,208984,145061,94307,248169,183530,303345",69.41
France,France Ligue 1,GFC Ajaccio,23,"25856,41216,607121,187666,41236,41240,36123,208676,38951,426670,303025,354491,179516,103485,196186,311003,160220,466143,311009,409193,108525,265727,303359",65.7
France,France Ligue 1,FC Lorient,25,"199810,420867,143750,586199,664962,93457,210451,423190,131995,149031,354472,188467,210114,210115,210146,196947,179415,352994,610534,5610,308843,179828,46712,158845,543358",68.69
France,France Ligue 1,Paris Saint-Germain,24,"34304,215299,27659,35724,49677,145550,192920,352879,26523,589349,46509,80562,26419,704523,109651,52133,195299,26852,267365,129391,562035,215798,435960,190972",78.8
