name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Bartholomew Ogbeche,69.43,47.43,75.14,60.86,48.43,62.43,64.43,65.43,60.43,46.57,68.57,75.71,78.71,64.0,64.43,74.0,77.43,85.43,67.0,77.0,55.43,77.29,28.14,70.86,46.43,67.43,23.43,22.71,22.43,for
Martijn Barto,66.0,45.0,64.0,83.0,56.0,58.0,62.0,46.0,35.0,47.0,62.0,56.0,45.0,66.0,64.0,63.0,64.0,64.0,69.0,73.0,59.0,31.0,35.0,75.0,44.0,58.0,17.0,22.0,14.0,for
Jerge Hoefdraad,62.0,67.0,60.0,39.0,46.0,59.0,66.0,63.0,34.0,44.0,61.0,85.0,85.0,80.0,46.0,80.0,66.0,80.0,65.0,65.0,45.0,36.0,22.0,56.0,50.0,56.0,23.0,24.0,22.0,for
Furdjel Narsingh,66.8,65.0,52.4,41.6,64.2,47.4,73.0,61.4,45.4,60.0,67.2,85.0,82.6,76.0,58.6,74.0,57.0,34.6,43.0,51.4,52.4,54.4,22.4,59.2,64.2,56.4,31.4,34.4,36.4,for
Xander Houtkoop,67.0,75.0,60.0,59.0,64.0,62.0,68.0,70.0,54.0,62.0,65.0,83.0,85.0,73.0,67.0,72.0,73.0,49.0,70.0,65.0,60.0,65.0,21.0,61.0,52.0,57.0,21.0,21.0,22.0,for
Mikhail Rosheuvel,66.29,57.43,56.43,43.43,62.86,51.43,70.86,67.43,58.43,47.43,67.43,85.29,85.86,75.0,58.43,70.0,62.43,66.0,67.0,67.86,66.57,43.43,32.71,55.43,64.43,59.43,22.86,21.43,22.43,for
Kevin van Veen,62.75,27.0,66.0,63.25,45.25,60.75,51.25,49.75,49.5,31.25,64.25,54.0,55.5,58.0,57.75,54.0,70.75,71.75,63.25,70.75,63.5,44.75,20.5,66.75,45.5,61.75,21.25,16.0,17.5,for
Sander van de Streek,65.25,55.25,69.5,60.25,65.0,60.25,65.75,60.5,43.75,61.5,68.5,65.0,68.0,60.0,62.5,69.75,65.25,68.0,62.0,64.0,69.5,52.25,29.25,67.75,59.75,62.25,45.25,40.25,31.25,for
Rai Vloet,64.5,44.5,63.5,69.5,65.5,60.5,61.5,61.5,66.5,61.5,66.5,66.0,63.5,59.0,59.5,63.0,70.5,68.0,64.0,69.5,62.0,55.5,32.5,65.5,66.5,67.5,35.5,30.5,22.5,for
Valmir Berisha,61.25,21.25,67.25,60.25,55.25,64.75,58.25,33.75,21.75,48.75,61.25,67.0,67.0,64.5,57.25,57.0,60.25,48.0,62.0,68.0,40.75,45.75,18.25,61.25,46.75,54.75,20.75,43.75,19.75,for
Jack Byrne,55.0,31.33,46.33,48.33,62.0,33.33,51.33,43.33,59.33,56.0,56.0,63.0,65.0,61.33,52.67,69.0,41.33,62.0,55.0,60.0,54.33,55.33,49.33,51.33,52.0,40.33,44.33,55.33,45.33,for
