name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Oscar Trejo,75.67,74.0,73.33,68.0,78.67,73.33,76.67,72.67,72.67,80.0,78.0,83.33,73.33,74.0,60.33,82.33,66.33,70.33,64.67,64.67,71.33,79.0,70.0,58.67,57.33,45.33,mid
Etienne Didot,74.33,76.0,60.67,63.67,80.33,63.33,68.67,72.67,78.67,55.67,48.67,71.33,75.0,67.67,62.0,72.33,64.67,66.67,75.67,72.0,67.33,79.33,64.67,72.0,72.0,70.0,mid
William Matheus,71.25,78.75,62.25,49.75,71.75,51.0,47.75,45.75,62.25,73.5,75.0,74.0,65.0,68.75,53.0,72.5,75.0,58.75,70.75,68.25,67.75,59.75,57.75,75.0,69.5,68.5,mid
Tongo Hamed Doumbia,73.5,73.75,68.75,71.75,75.5,64.5,62.5,56.25,72.5,75.75,76.75,68.25,53.0,78.5,83.75,80.25,85.75,69.0,87.0,78.5,71.75,71.25,56.5,73.25,76.5,74.75,mid
Adrien Regattin,72.8,73.4,72.4,47.0,76.2,72.6,75.0,75.8,71.0,83.2,80.6,78.2,90.0,78.8,61.2,73.8,70.0,77.4,76.6,61.4,72.6,72.6,69.2,61.0,60.4,54.8,mid
Jean-Daniel Akpa-Akpro,72.0,72.5,62.0,62.0,75.5,66.5,63.0,50.0,64.0,80.0,80.75,70.5,70.5,70.0,67.0,77.5,58.0,60.5,76.0,70.0,69.0,65.5,55.5,70.5,70.5,68.5,mid
Somalia,71.33,75.0,71.0,45.0,75.0,65.0,67.0,49.0,70.0,77.33,84.33,74.67,68.0,73.0,50.0,81.67,66.67,72.0,72.67,72.0,54.0,66.0,62.0,70.0,71.0,67.0,mid
Yann Bodiger,66.0,50.0,40.33,58.67,66.67,42.0,63.67,55.67,62.33,55.33,48.67,54.0,58.0,65.67,56.33,70.33,70.67,48.67,72.0,64.33,40.67,57.67,54.67,66.33,71.33,65.33,mid
Alexis Blin,61.8,52.6,46.2,53.2,68.6,36.8,61.0,42.8,61.0,58.8,58.4,59.4,51.0,59.2,62.0,64.6,64.0,50.4,59.0,57.6,54.0,61.0,50.2,60.0,61.4,62.4,mid
Zinedine Machach,61.5,60.75,50.5,54.0,69.0,41.0,48.0,49.0,62.0,69.0,70.0,63.5,61.5,61.0,61.0,61.25,59.5,49.25,67.0,52.0,47.75,60.25,55.0,49.5,63.0,64.0,mid
