name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Chris Brunt,73.0,85.0,66.75,60.75,78.75,57.75,85.75,76.75,77.75,68.0,57.5,65.0,63.0,84.25,76.0,60.0,60.0,78.75,66.75,58.75,65.75,72.75,76.0,56.75,61.25,52.25,mid
Darren Fletcher,74.75,71.25,64.25,83.75,83.25,59.25,64.25,46.25,78.25,57.5,53.75,62.0,59.0,76.25,69.25,76.0,69.25,72.25,85.25,82.75,56.25,67.25,61.25,79.25,81.75,77.25,mid
James Morrison,73.67,82.67,71.67,53.67,77.67,82.67,63.67,62.67,72.67,71.0,68.0,77.33,77.0,79.67,51.0,77.0,59.0,77.67,68.67,58.67,72.67,73.67,68.67,54.67,59.67,63.67,mid
Craig Gardner,74.33,69.33,64.33,67.33,75.33,70.33,69.33,73.33,74.33,57.0,53.67,69.0,74.0,86.33,66.0,91.0,73.0,83.33,86.33,69.33,71.33,70.33,80.33,69.33,71.33,72.33,mid
Stephane Sessegnon,77.0,73.33,70.33,67.33,76.33,68.33,75.33,66.33,69.33,81.0,79.33,84.0,90.0,74.33,70.33,79.0,73.0,68.33,71.33,44.33,75.33,76.33,76.33,44.33,52.33,48.33,mid
Jonny Evans,78.25,51.25,27.25,82.5,75.25,45.25,31.25,24.25,61.25,69.0,73.5,50.0,57.0,41.25,79.25,74.0,73.0,24.25,77.25,80.75,27.25,44.25,43.25,77.75,81.0,79.75,mid
Claudio Yacob,77.33,33.33,57.33,77.33,82.33,22.33,51.33,54.33,73.33,63.0,51.0,59.0,68.0,62.33,76.0,83.0,69.33,66.33,76.67,81.33,41.33,68.33,65.33,75.33,82.33,71.33,mid
Sandro,76.2,69.0,64.2,66.2,76.6,56.2,54.2,53.2,71.6,68.0,76.0,56.0,59.0,79.2,62.0,81.8,84.0,74.2,87.2,81.2,62.8,66.4,61.2,75.2,78.6,83.8,mid
Craig Dawson,67.0,36.0,48.5,76.5,50.5,22.5,24.5,23.5,58.0,66.5,68.0,60.0,50.0,56.5,80.0,67.0,74.0,19.5,67.5,68.5,36.5,39.5,65.5,68.0,75.5,69.0,mid
Callum McManaman,71.8,62.2,69.2,36.2,66.2,54.2,37.0,35.2,55.2,81.4,76.8,82.0,80.6,63.2,34.0,61.8,57.0,56.2,70.2,28.2,71.2,71.2,63.8,29.2,23.4,22.8,mid
