name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Moussa Dembele,79.5,64.5,65.5,67.5,83.5,76.5,64.5,54.5,78.5,78.0,78.0,82.25,64.5,84.5,77.0,82.0,86.0,71.5,74.0,72.5,70.5,76.0,66.5,61.5,75.5,63.5,mid
Nacer Chadli,77.75,76.5,74.0,65.5,77.5,72.5,76.5,77.5,67.5,76.5,80.0,64.75,60.0,80.5,71.0,83.5,83.0,73.75,58.5,42.5,76.5,77.5,75.5,36.5,47.5,43.5,mid
Christian Eriksen,82.36,83.36,73.45,52.0,84.0,69.0,85.0,86.27,82.0,82.73,76.55,77.64,79.0,78.0,57.0,87.0,48.45,76.18,42.09,44.82,75.0,85.0,67.0,38.0,52.91,22.0,mid
Ryan Mason,72.0,67.67,62.44,54.22,78.44,63.22,69.22,63.67,74.67,68.0,70.22,73.22,77.0,71.22,48.0,80.56,58.0,70.22,71.44,62.22,69.67,72.11,68.22,68.22,68.78,64.22,mid
Erik Lamela,78.83,74.67,74.0,70.67,80.67,79.67,82.67,78.67,70.83,84.33,78.0,78.33,71.0,79.67,64.0,70.5,48.67,81.67,59.33,29.67,76.83,78.67,74.67,27.0,32.5,27.83,mid
Thomas Carroll,69.67,59.33,56.33,45.33,78.0,57.33,65.33,64.33,75.33,69.0,68.67,83.0,78.0,58.33,45.0,71.0,33.0,55.33,46.33,54.33,68.33,78.33,55.33,52.33,52.33,46.33,mid
Heung-Min Son,76.4,72.6,79.2,64.4,74.4,72.4,78.4,69.4,54.2,85.6,86.6,78.6,77.6,81.4,66.8,70.2,54.0,86.0,52.4,28.4,79.4,68.4,70.4,21.8,22.6,22.4,mid
Eric Dier,73.3,65.1,43.7,76.8,71.7,51.7,53.7,76.7,75.7,55.6,71.9,50.3,40.0,82.7,66.0,75.2,84.2,70.7,78.7,73.8,53.0,59.2,69.7,72.7,77.1,69.5,mid
Dele Alli,64.62,44.94,64.31,55.75,68.12,46.06,55.75,35.38,62.38,70.56,68.5,63.44,55.38,58.38,59.0,78.5,62.94,63.75,57.5,53.75,66.44,63.81,44.94,48.94,57.06,50.38,mid
Nabil Bentaleb,73.12,61.12,57.12,47.12,78.38,62.12,66.12,55.12,74.12,71.75,62.25,71.12,66.5,70.62,54.88,76.5,70.25,68.75,75.12,73.38,64.0,74.38,57.12,67.62,66.88,54.0,mid
