name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Steven Davis,76.0,75.0,58.0,53.0,80.0,64.0,73.0,69.0,77.0,73.0,70.0,79.0,76.0,63.0,82.0,86.0,67.0,63.0,74.0,67.0,68.0,75.0,62.0,66.0,71.0,67.0,mid
Ryan Bertrand,75.75,78.25,34.25,68.25,75.25,42.25,66.25,51.25,69.25,79.5,78.5,72.75,71.0,58.25,71.0,77.0,70.25,53.25,70.75,75.12,61.5,50.62,51.25,73.75,78.75,77.75,mid
Dusan Tadic,79.83,80.17,67.67,62.33,81.67,72.33,82.33,75.33,76.17,76.33,72.33,81.0,77.0,71.67,65.0,76.33,67.0,65.33,55.33,30.33,74.33,86.0,82.33,39.33,33.33,25.33,mid
Cedric Soares,77.0,78.5,56.5,64.5,74.5,67.5,65.5,67.5,68.5,81.0,80.0,76.0,83.0,83.5,73.0,87.0,64.0,77.5,76.5,75.5,70.5,63.5,59.5,75.0,77.5,78.0,mid
Victor Wanyama,76.25,62.25,61.25,75.0,72.75,61.25,61.25,56.25,69.0,63.5,71.25,72.0,66.0,82.75,81.0,84.0,91.25,68.5,89.25,77.0,63.25,65.5,64.25,73.25,82.25,77.5,mid
Jordy Clasie,77.2,65.2,49.2,37.4,81.2,72.2,77.6,69.2,78.2,68.0,67.4,75.0,90.0,76.2,58.0,83.0,68.2,70.2,84.6,79.6,65.8,83.2,63.2,62.4,70.8,60.2,mid
Oriol Romeu,72.2,36.2,24.2,64.2,77.2,21.2,48.2,52.2,68.2,66.0,55.0,60.0,59.0,59.2,67.0,75.0,84.0,42.2,72.0,73.2,49.2,67.2,53.2,71.2,76.2,64.2,mid
James Ward-Prowse,74.14,85.14,51.57,56.29,80.29,50.29,85.29,77.57,78.57,72.14,70.43,74.0,79.0,71.14,68.0,74.57,64.0,68.57,66.29,66.0,65.29,81.14,56.43,54.29,65.0,61.29,mid
Sadio Mane,75.11,67.22,74.33,52.22,72.22,65.22,73.22,63.22,66.22,90.44,90.33,88.0,83.89,71.44,58.0,65.0,63.11,65.22,60.22,28.22,74.78,68.22,64.0,32.22,32.22,37.22,mid
Matt Targett,62.25,63.75,35.25,55.25,58.25,36.25,60.25,61.25,54.25,74.0,74.5,70.75,70.25,33.25,59.5,62.75,61.5,37.25,60.25,60.75,48.25,39.25,50.25,59.5,66.75,65.0,mid
